source,title,description,category,publishedAt
20 Minuten,Polizeimeldungen Zentralschweiz : E-Bike kollidiert mit Töff – zwei Verletzte,"Verbrechen, Unfälle und Fahndungen: Die neusten Polizeimeldungen aus der Zentralschweiz.",nation,2021-05-09T17:20:05Z
20 Minuten,Brand in Siebnen SZ,"Ein Brand hat in einem Ladenlokal in Siebnen, welches kurz vor der Fertigstellung stand, erheblichen Schaden angerichtet. Die Feuerwehr konnte das Feuer schnell löschen. Niemand wurde verletzt.",nation,2021-05-09T15:44:18Z
20 Minuten,Rettung mit über 20 Personen im Einsatz,"Am Sonntagmorgen fiel ein Mann beim Aufstieg zum Tödi (GL) 15 bis 20 Meter tief in eine Gletscherspalte, weil eine Schneebrücke unter ihm einbrach. Die Rettungskräfte konnten ihn befreien. Der Mann wurde mit schweren Verletzungen ins Kantonsspital Zürich geflogen.",nation,2021-05-09T14:55:36Z
20 Minuten,Online Consulting AG Wil,"Eine Wiler IT-Firma konnte im April einen Hackerangriff erfolgreich abwehren. Trotz dem Schaden ist man glücklich, dass keine Daten gestohlen wurden.",nation,2021-05-09T13:59:45Z
BLICK,Winterthur: Polizei schiesst während Verfolgungsjagd auf Schweizer (21),Am frühen Sonntagmorgen lieferte sich die Winterthurer Polizei eine Verfolgungsjagd mit einem 21-jährigen Schweizer. Dabei kam es auch zu einer Schussabgabe von den Einsatzkräften. Der Geflüchtete hatte ein Sturmgewehr auf sich.,nation,2021-05-09T13:22:27Z
Telebasel,"""Iso Clay vom Federsee"" schnappt sich ausgebüxte Arxhof-Insassen",In der Nacht auf Sonntag flüchteten zwei Häftlinge aus dem Massnahmenzentrum Arxhof. Die beiden Flüchtigen konnten kurze Zeit später gefasst werden.,nation,2021-05-09T12:45:52Z
20 Minuten,Rega-Helikopter und unbekanntes Flugzeug crashen beinahe ineinander,Nahe der Grenze zur Schweiz kam es in Österreich kürzlich zu einem «schweren Vorfall» mit einem Rega-Heli bei einem Rettungseinsatz. Nun wird der Fall untersucht.,nation,2021-05-09T12:27:17Z
Schweizer Radio und Fernsehen (SRF),Corona-Impfung - Zürich: Nur die Hälfte des Heimpersonals will sich impfen lassen,"Diese niedrige Quote sei «schon etwas enttäuschend», so die Impfkampagne-Co-Leiterin gegenüber der «NZZ am Sonntag».",nation,2021-05-09T11:17:00Z
BLICK,Test-Kontrolle am Flughafen: Globetrotter-Chef fordert Einsatz von Armee,Nach dem Blick-Bericht über ungenügende Kontrollen von Covid-Tests am Flughafen bei der Einreise sollen nun Soldaten Fluggäste kontrollieren. Das fordert Globetrotter-Chef André Lüthi. Im Gegenzug verlangt er die Abschaffung der Quarantäneliste.,nation,2021-05-09T10:29:42Z
20 Minuten,Goldach : 18-Jähriger rast mit 227 km/h auf Autobahn,"Die Kapo St. Gallen hat Geschwindigkeitskontrollen durchgeführt. Zwei Autofahrer müssen sich nun wegen eines Raserdelikts verantworten, weitere wurden angezeigt.",nation,2021-05-09T09:20:49Z
