source,title,description
20 minuten,"Bronschhofen SG : Eltern halten Verkehr an, damit Kinder Strasse queren können","Kein durchgehendes Trottoir, kein Fussgängerstreifen: Die Überquerung der AMP-Strasse in Bronschhofen SG macht Eltern von Schulkindern Sorgen. Die Behörden sind informiert."
blick,Genferin (65) stirbt nach Crash mit Reh auf Autobahn bei Mägenwil AG,Eine 65-jährige Autofahrerin stiess am Mittwoch auf der A1 mit einem Reh zusammen – dieses hatte sich auf die Autobahn verirrt. Dabei hatte die Frau riesiges Pech: Es ist der erste tödliche Wildunfall in den letzten fünf Jahren.
20 minuten,Bedingte Freiheitsstrafe : 33-Jähriger wegen sexueller Nötigung von Morena Diaz verurteilt,"Influencerin Morena Diaz sagte am Donnerstag vor dem Strafgericht Schwyz gegen einen ehemaligen Kollegen aus. Dieser bestreitet, die sexuelle Nötigung begangen zu haben."
blick,Wetter: Der Monat April war so kalt wie seit 20 Jahren nicht mehr,"Bis zum Wochenende bleibt es in der Schweiz regnerisch und eher kühl. Damit bleibt sich der April treu. Der Monat war so kalt, wie seit 20 Jahren nicht mehr."
blick,Wegen Masken-Attest: Corona-Skeptiker rufen zum Aufmarsch in Morschach auf,"Das Hotel des Swiss Holiday Park in Morschach SZ akzeptierte die Masken-Atteste einer Familie nicht. Als Corona-Skeptiker davon Wind bekamen, wurden sie wütend und riefen im Internet zum Aufmarsch auf. Die Kantonspolizei musste ausrücken."
telebasel,Flashmob im Bahnhof gegen Corona-Massnahmen,Knapp 100 Personen versammelten sich am Mittwochabend in der Passerelle des Bahnhofs SBB und tanzten gegen die Corona-Massnahmen.
telebasel,Tierschutz rügt Zolli für Seelöwen-Haltung,Der Schweizer Tierschutz STS hat am Donnerstag seinen «Zoobericht 2020» veröffentlicht. Gerügt wird der Zolli für die Haltung der Seelöwen.
20 minuten,Influencerin machte Fall publik,Body-Positivity-Star Morena Diaz soll von einem Kollegen sexuell genötigt worden sein. Am Donnerstag ist der Fall vor dem Strafgericht Schwyz.
20 minuten,Matran FR : Lenker fährt in Kuhherde – vier Rinder tot,Auf der Autobahn A12 in Matran wurde in der Nacht auf Donnerstag ein Autofahrer von einer Kuhherde überrascht und kollidierte mit vier Kühen. Alle vier Rinder starben.
telebasel,Autofahrer auf A12 von Kuhherde überrascht - vier Tiere tot,Ein Automobilist ist in der Nacht auf Donnerstag auf der Autobahn A12 bei Matran FR von einer Kuhherde auf der Fahrbahn überrascht worden. Vier Kühe starben.
