source,title,description,category,publishedAt
Telebasel,"""Verdächtiges"" Paket sorgt für Polizeieinsatz in Muttenz",Ein Paket mit «verdächtigem Inhalt» sorgte im Strafjustizzentrum Muttenz für einen Polizeieinsatz. Absender des Pakets war die Polizei selbst.,nation,2021-05-28T14:16:08Z
BLICK,Swiss Co-Pilot wird eine Stunde vor Landung flugunfähig,2015 kommt es auf einem Linienflug der Swiss zu einem heiklen Zwischenfall: Kurz vor der Landung fällt der Co-Pilot aus medizinischen Gründen aus. Jetzt liefert die Schweizerische Sicherheitsuntersuchungsstelle den vollständigen Bericht.,nation,2021-05-28T13:58:20Z
BLICK,Bezirksgericht Zofingen AG: Frau wegen versuchten Mordes verurteilt,"Eine Aargauerin (33) hat zweimal versucht, ihren Ehemann zu töten. Jetzt wurde sie in zweiter Instanz zu 14 Jahren Gefängnis verurteilt. Die Strafe wird zugunsten einer stationären psychiatrischen Therapie aufgeschoben.",nation,2021-05-28T13:25:10Z
20 Minuten,Flughafen Zürich : 20 Kilogramm Heroin im Koffer – Polizei verhaftet Drogenkuriere,Bei einer Kontrolle am Zürcher Flughafen wurden zwei Personen im Alter von 24 und 25 Jahren mit Heroin erwischt.,nation,2021-05-28T12:59:35Z
20 Minuten,Frau (30) ergaunert mehrere zehntausend Franken von Renter,Eine 30-jährige Frau soll bei einem Urner Rentner (82) aufgrund einer angeblichen finanziellen Notlage Geld erschlichen haben. Sie wurde verhaftet.,nation,2021-05-28T12:33:15Z
20 Minuten,"""Lärmstörung"" in Lauterbrunnen BE","Als Willi Michel am Sonntag Alphorn spielte, stand plötzlich die Polizei vor seiner Türe. Die Nachbarschaft hat sich wegen des Lärms beschwert. Jetzt sammeln Mitbürgerinnen und Mitbürger Unterschriften.",nation,2021-05-28T12:23:21Z
BLICK,Kanton ändert Praxis: Hausärzte raus aus Corona-Impfung,Die Zürcher Kantonsapotheke hat die Mindestbestellmenge des Corona-Vakzins erhöht. Das hat Folgen. Viele Hausärzte hören mit dem Impfen auf.,nation,2021-05-28T12:22:13Z
20 Minuten,Kinderschutzstatistik 2020 : Drei Kleinkinder starben 2020 nach Misshandlung,"Die Fachgruppe Kinderschutz hat ihren jährlichen Bericht veröffentlicht. Über 1500 Kinder waren 2020 von sexueller, körperlicher oder psychischer Gewalt betroffen. Die Dunkelziffer dürfte noch viel grösser sein.",nation,2021-05-28T11:20:24Z
BLICK,Christoph Blocher zum Ende des Rahmenabkommens,"Dass der Bundesrat die Verhandlungen über ein Rahmenabkommen mit der EU für beendet erklärt hat, ist für SVP-Übervater Christoph Blocher ein Grund zum Jubel. Aussenminister Cassis tut ihm allerdings leid.",nation,2021-05-28T11:00:52Z
Telebasel,Campingplätze stehen vor Rekord-Sommer,Nach dem Einbruch im Vorjahr wegen Corona steht den Schweizer Hotels ein weiterer trüber Sommer ins Haus. Auf den Camping-Plätzen boomt indes das Geschäft.,nation,2021-05-28T10:02:53Z
