source,title,description,category,publishedAt
Www.nau.ch,Angelina Jolie: Fans spekulieren über ihr glattes Gesicht,In einer Show spricht Angelina Jolie über ihren neuen Film «They Want Me Dead». Doch ihre steife Stirn erregt mehr Aufmerksamkeit als der neue Actionstreifen.,entertainment,2021-05-10T16:54:00Z
Blick.ch,Heino hat Geldstreit nach geplatzter Adoption,"Nachdem Heino Jutta T. beinahe adoptiert hatte, kommt es nun zum grossen Streit. Sie und ihr Ehemann fordern Geld vom Sänger.",entertainment,2021-05-10T13:39:02Z
20 Minuten,Zwei neue Songs erwartet - ABBA planen ein Comeback,"Die schwedische Kultband plant ein Comeback. Das hatte sie bereits mehrfach angekündigt, nun soll es aber tatsächlich zu einer Reunion kommen.",entertainment,2021-05-10T12:51:58Z
20 Minuten,Gal Gadot - Auch sie erhebt Vorwürfe gegen Joss Whedon,Die «Wonder Woman»-Darstellerin schliesst sich nun öffentlich den Aussagen ihrer Schauspiel-Kolleginnen an: Der «Justice League»-Regisseur Joss Whedon habe am Set seine Macht missbraucht.,entertainment,2021-05-10T12:16:40Z
Schweizer-illustrierte.ch,Rebecca Mir zeigt seltenes Foto von Baby mit Massimo Sinato - Schweizer Illustrierte,"Pünktlich zum diesjährigen Muttertag postet Rebecca Mir ein Foto von ihrem Söhnchen auf Instagram. Dass der kleine Bub die Tanzfüsschen von seinem Papa Massimo Sinató hat, ist dabei klar ersichtlich.",entertainment,2021-05-10T10:33:24Z
Schweizer-illustrierte.ch,Herzogin Meghan hüllt ihren Babybauch in florales Kleid - Schweizer Illustrierte,"Farbenfroher Auftritt: Herzogin Meghan zog während einer virtuellen Rede anlässlich des ""Vax Live""-Konzertes alle Blicke auf sich. Die werdende Mutter hatte ihren Babybauch in ein besonderes Blumenkleid gehüllt.",entertainment,2021-05-10T09:54:34Z
Blick.ch,Muttertag: So feierten Stars wie Kate Hudson und The Rock,"Stars wie Kate Hudson, Jessica Alba und Nicole Kidman feierten den Muttertag am Wochenende und bedankten sich bei ihren Mamis – oder schickten gleich Grüsse an alle Frauen.",entertainment,2021-05-10T08:38:24Z
Bluewin.ch,RTL-Moderator Jan Hahn an Krebs gestorben,Nach kurzer und schwerer Krebserkrankung verstarb Jan Hahn am 4. Mai 2021. Er hatte jahrelang die Show «Guten Morgen Deutschland» moderiert – seine Kolleginnen und Kollegen verabschiedeten sich unter Tränen.,entertainment,2021-05-10T08:22:00Z
Watson.ch,Schwingfeste trotz Corona: Eidgenossen haben Spezialmasken getestet,Mit Ausnahme der 120 Besten des Landes müssen alle Schwinger im Training eine Maske tragen. Mit den herkömmlichen Masken ist ein wettkampfmässiges Schwingen so aber nicht möglich. Nun wurde eine Lösung gefunden und von Spitzenschwingern bereits getestet.,entertainment,2021-05-10T07:26:00Z
20 Minuten,Gwyneth Paltrows Alkohol-Beichte - «Ich habe im Lockdown jeden Abend getrunken»,"Eigentlich ist Gwyneth Paltrow bekannt für ihren gesunden Lifestyle. Nun gesteht die Schauspielerin, dass sie während der Quarantäne täglich Alkohol konsumiert hat.",entertainment,2021-05-10T02:43:21Z
Www.nau.ch,Prinz Harry und Prinz William: Keine Versöhnung in Sicht!,Dieser Streit will einfach kein Ende nehmen. Nicht mal für die Enthüllung einer Diana-Statue wollen sich Prinz Harry und Bruder William versöhnen.,entertainment,2021-05-09T23:09:08Z
Www.nau.ch,William begegnete Kate Middleton schon mit neun Jahren!,"Es ist die schönste Liebesgeschichte, die die Royals zu bieten haben. Nun werden neue Details über die Anfänge von Prinz William und Kate Middleton bekannt.",entertainment,2021-05-09T22:01:00Z
Bluewin.ch,Mit diesen Mitteln «dopen» Freizeitläufer Im «Tatort: Verschwörung»,Im «Tatort: Verschwörung» mit Eisner und Fellner brach ein ambitionierter Freizeitläufer tot zusammen. Seine Marathon-Bestzeit wollte er mit fragwürdigen Mitteln auf unter drei Stunden und 30 Minuten «pimpen». Wie verbreitet ist Doping unter Hobbyläufern?,entertainment,2021-05-09T19:49:09Z
Blick.ch,Nach Willi Herrens Tod: Jasmin zeigt Alessia an,"Jasmin und Alessia Herren schenken sich nichts. Nachdem Willi Herrens Tochter die Schleife von Jasmins Kranz entfernte, schaltet diese nun ihren Anwalt ein.",entertainment,2021-05-09T15:39:17Z
