source,title,description
finanzen.ch,Milliardendeal : Nestlé-Aktie freundlich: Nestlé kauft US-Vitaminhersteller Bountiful - finanzen.ch,"Nestlé kauft kräftig in den USA zu. Für 5,75 Milliarden Dollar übernimmt der Nahrungsmittelkonzern den US-Vitaminhersteller Bountiful von KKR."
www.srf.ch,Digitalisierungszwang - Postfinance-App: 10'000 Kunden können nicht mehr zugreifen - Schweizer Radio und Fernsehen (SRF),Ab dem 10. Mai können Postfinance Kundinnen und Kunden mit einem iPhone 6 oder älter nicht mehr auf die App zugreifen.
tagesanzeiger.ch,Überraschender Abgang - CS-Verwaltungsrat tritt nur Stunden vor GV zurück - Tages-Anzeiger,Um 10.30 Uhr beginnt die Generalversammlung. Bereits jetzt hat der Vorsitzende des Risikoausschusses dem Druck von Aktionären nachgegeben.
aerotelegraph.com,So plant Lufthansa die Business Class zu schrumpfen - aeroTELEGRAPH,"Die Fluglinie zeigt erstmals, wie sie die Business Class verkleinern will. Selbst wenn die Nachfrage nach Geschäftsreisen sich gut erholt, hat Lufthansa einen Grund, verstärkt auf Premium Economy zu setzen."
bluewin.ch,Käser und Doktoranden für die Herstellung von Impfstoffen gesucht - bluewin.ch,Lonza baut in Visp zusätzliche Produktionslinien für den Moderna-Impfstoff und sucht dafür geeignete Fachkräfte – unter anderem bei Käsereien. Der Gemeindepräsident zeigt sich derweil erfreut.
www.nau.ch,Alte Banknoten werden von Schweizer Nationalbank zurückgerufen - Nau.ch,Per 30. April verlieren die alten Banknoten ihren Status als gesetzliches Zahlungsmittel. Die Schweizer Nationalbank ruft darum die Noten der 8. Serie zurück.
auto-motor-und-sport.de,Motorsport und Elektromobilität: Wo E-Autos noch keine Chance haben - auto motor und sport,"Extreme E-Autos bieten vierstellige PS-Zahlen, brutale Fahrleistungen und verblasen im Sprint jeden Verbrenner. E-Motorsport ist trotzdem lahm. Warum?"
aerotelegraph.com,Lufthansa prüft Umbau von Airbus A340 zu temporären Frachtern - aeroTELEGRAPH,Aufgrund der hohen Nachfrage werden Lufthansa und ihre Töchter in den nächsten Wochen noch mehr Fracht in Passagierfliegern transportieren. Vielleicht auch mit einem weiteren Flugzeugmodell.
telebasel.ch,Basel Corona reisst Loch in Rechnung des Unispitals - Telebasel,Das Corona-Jahr beschert dem Uni-Spital einen Verlust von 17 Millionen. Einnahmensausfälle wegen des Rückgangs an planbaren Eingriffen sorgten für das Minus.
tagesanzeiger.ch,Google baut in Zürich – Der Internetgigant dehnt sich aus ins Bankenviertel - Tages-Anzeiger,"Der markante ehemalige IBM-Hauptsitz wird gesamtsaniert. Neuer Mieter an dieser Toplage soll Google sein, das sei «ein offenes Geheimnis»."
blick.ch,"SNB schreibt im ersten Quartal Mega-Gewinn von 37,7 Mrd Franken - BLICK","Die Schweizerische Nationalbank profitiert von einem schwächeren Franken und dem Boom an den Aktienmärkten. Die SNB vermeldet deshalb einen Mega-Gewinn von 37,7 Milliarden Franken im ersten Quartal."
tagesanzeiger.ch,«Apropos» – der tägliche Podcast - Warum Urs Rohner jeden CS-Skandal überstanden hat - Tages-Anzeiger,Zehn Jahre lang stand Urs Rohner an der Spitze der Credit Suisse. Es war ein teures Jahrzehnt für die Bank. Warum konnte sich der Bankchef dennoch so lange an der Spitze halten? Antworten in «Apropos».
watson.ch,Warum du die Tastatur-App Typewise für iOS und Android nutzen solltest - watson,"Die Tastatur-App Typewise gibt es ab in einer neuen Version. Mit Unterstützung der ETH wurden Autokorrektur, Spracherkennung und der Datenschutz verbessert."
blick.ch,Brabus B50: Die neue Mercedes S-Klasse mit mehr Power und Luxus - BLICK,"Noch ehe Haustuner AMG die neue Mercedes S-Klasse fetter macht, schnappt sich Brabus den Luxusliner. Die S-Klasse als B50 lockt mit Noblesse, aber spart an einem Detail."
inside paradeplatz,Rohners Scherbenhaufen: Flucht nach London?,"CS-Präsident hinterlässt gigantisches Fiasko, mit Not-Geldinfusion und Risk-Chef im VR, der am Tag der Wahl aufgibt."
20 minuten,Die Schweizer Tastatur Typewise wird jetzt noch schneller,"Die Schweizer App Typewise hat ein neues Update erhalten. Sie sei jetzt noch besser als das Google-Keyboard oder Swiftkey, so die Entwickler."
20 minuten,Drei neue Produktionsstätten : Lonza und Moderna wollen Impfstoffproduktion verdoppeln,Mit drei neuen Produktionsstätten in Visp wollen Lonza und Moderna ihre Impfstoffproduktion ankurbeln. Die doppelte Menge an Vakzinen soll dort künftig hergestellt werden.
aerotelegraph,Swiss-Chef bereitet Personal auf tiefere Einschnitte vor,Die Schweizer Lufthansa-Tochter rechnet mit einem Rückgang des Geschäftsreiseverkehrs. Deshalb prüft Swiss nun eine «signifikante» Verkleinerung.
inside paradeplatz,CS-Top-Manager auf Absprung - zu UBS?,"Felix Baumgartner, Chef der Reichsten und Mitglied in CS-Schweiz-Geschäftsleitung, verhandelt über Sprung zu Konkurrenz."
