source,title,description,category,publishedAt
Blick.ch,Amazon: Jeff Bezos baut sich Mega-Yacht,"Das fehlt ihm noch ein seiner Sammlung: ein Luxus-Schiff. Amazon-Chef Jeff Bezos (57) will das nun ändern. Er baut sich eine Luxusyacht. Noch ist das Projekt geheim, Bilder gibt es noch keine. Dafür aber schon ein paar Details.",business,2021-05-07T17:27:29Z
Btc-echo.de,Ethereum Classic (ETC) – was steckt hinter der Kursexplosion?,Ethereum Classic (ETC) ist in den letzten sieben Tagen um knapp 300 Prozent gestiegen. Was steckt hinter dem rasanten Kursanstieg?,business,2021-05-07T11:33:00Z
Watson.ch,Postfinance-Chef über junge Kunden und die neue Digital-Banking-App Yuh,Interview mit Hansruedi Köng,business,2021-05-07T05:23:00Z
BLICK,Elon Musks Starlink-Raketen über der Schweiz zu sehen,Freitagnacht gegen 23 Uhr war eine Reihe heller Lichter am Himmel über der Schweiz zu sehen. Dabei handelt es sich um die Starlink-Raketen von Elon Musk.,business,2021-05-08T03:35:24Z
aeroTELEGRAPH,Swiss-Abbau trifft auch Helvetic Airways,Swiss muss mehr sparen und verkleinert die Flotte deutlich. Das heißt auch für die Wet-Lease-Partnerin Helvetic Airways weniger Aufträge.,business,2021-05-06T15:22:00Z
20 Minuten,Viritech Apricale – Ein Hypercar mit Wasserstoff-Brennstoffzellentechnik,"Sportwagen mit Elektroantrieb haben wegen der grossen Akkus Gewichtsprobleme. Ein Start-up aus England will zeigen, dass es auch anders geht.",business,2021-05-06T13:00:00Z
finews.ch,"Immobilien: Die UBS zeigt, wo's am Eigenheim-Markt brenzlig wird",Die Eigenheim-Preise haben seit Jahresbeginn nochmals stark zugenommen. Die UBS lokalisiert nun erstmals die Gefahrenherde für Eigentümer und Käufer.,business,2021-05-06T11:59:00Z
Inside Paradeplatz,Finma weitet Impf-Insider-Ermittlung aus,Bankenaufsicht geht vor allem Deals von Covid-Experten mit Lonza-Aktien nach. Man stehe „mit diversen Akteuren im Austausch“.,business,2021-05-06T05:59:32Z
20 Minuten,Parallelimport – Coop importiert neues Coca-Cola Zero aus Polen,Coca-Cola Zero gibts bald mit neuem Geschmack. Noch vor dem offiziellen Schweizer Verkaufsstart importiert Coop das Getränk aus Polen. Damit erhöht der Detailhändler den Preisdruck auf den hiesigen Produzenten.,business,2021-05-06T02:48:24Z
BLICK,Skoda Enyaq iV im Test: Alle Infos zum schicken Elektro-SUV aus Tschechien,Skoda kennen wir für eher nüchtern gemachte Autos. Doch beim elektrischen SUV Enyaq zeigt sich die tschechische VW-Tochter nun plötzlich von ihrer noblen Seite.,business,2021-05-05T23:37:11Z
CryptoMonday | Bitcoin & Blockchain News | Community & Meetups,XRP Kurs auf dem Weg zu einem neuen Allzeithoch? Peter Brandt findet versöhnliche Worte gegenüber Ripple-Anhängern,Brandt findet überraschend versöhnliche Worte gegenüber Ripple-Anhängern und sieht viel Potential beim XRP Kurs in den kommenden Wochen.,business,2021-05-05T17:49:37Z
BLICK,Hyundai-Tochter Genesis: Zürich gehört zu zu den ersten drei Standorten,Hyundai wagt den nächsten Schritt: Mit dem Luxus-Ableger Genesis will die Marke künftig der etablierten Konkurrenz vor allem mit Rundum-Service den sogenannten Premium-Markt streitig machen.,business,2021-05-05T14:28:13Z
BLICK,Nissan verkauft Daimler-Anteile: Kooperation soll aber weiterlaufen,"Seit 2010 arbeiten der Daimler-Konzern (Mercedes, Smart und andere Marken) und die Allianz aus Renault und Nissan zusammen. Nach Renault verkauft nun auch Nissan seine Anteile am Stuttgarter Autobauer.",business,2021-05-05T13:01:06Z
