source,title,description,category,publishedAt
20 minuten,«La Boum 2» : 1500 Demonstrierende gegen 600 Polizisten an illegaler Party in Belgien,Am Samstag kam es bei einem Massentreffen im Brüsseler Stadtzentrum zu Krawallen. Es war bereits das zweite Mal innert weniger Wochen. Die Polizei nahm über 100 Personen fest.,world,2021-05-02T11:26:23Z
20 minuten,Donald Trumps Erbe  - US-Präsident Joe Biden dreht Geldhahn für Mauerbau an mexikanischer Grenze zu,Das US-Verteidigungsministerium stellt die Finanzierung der Mauer an der Grenze zu Mexiko ein. Der Bau der Mauer wurde während Trumps Präsidentschaft angeordnet.,world,2021-05-02T09:24:14Z
20 minuten,Baum auf Toitoi gestürzt,Ein Parkbesucher in den USA musste dringend aufs WC. Während des dringenden Geschäfts stürzte ein Baum um – und fiel ausgerechnet auf das Toilettenhäuschen.,world,2021-05-01T21:25:16Z
20 minuten,«La Boum 2» : Krawalle an illegalem Massentreffen im Stadtpark von Brüssel,Erneut ist im Stadtpark von Brüssel ein Massentreffen eskaliert. Hunderte Polizisten vertrieben die aggressive Menge mit Wasserwerfern und Tränengas.,world,2021-05-01T19:01:44Z
20 minuten,Verletzung im Schädelinneren : Frau lief nach Corona-Test Hirnwasser aus dem Kopf,In Osnabrück ist eine Frau beim Corona-Schnelltest im Inneren ihres Schädels verletzt worden. Danach lief ihr wochenlang Hirnwasser aus dem Kopf.,world,2021-05-01T19:01:07Z
blick,Arnold Schwarzenegger fühlt sich alt wegen seiner Enkelin,Dank seiner Tochter Katherine und ihrem Ehemann Chris Pratt wurde Arnold Schwarzenegger im August 2020 das erste Mal Grossvater. Das habe allerdings einen gehörigen Nachteil.,world,2021-05-01T15:53:06Z
blick,Niederlande: Corona-Massnahmen Niederlanden,Die Niederlande haben angesichts anhaltend hoher Infektionszahlen geplante Lockerungen der Corona-Schutzmassnahmen vorerst ausgesetzt.,world,2021-05-01T15:32:55Z
blick,USA: Freizeitpark wieder auf,"13 Monate lang war Disneyland wegen der Corona-Pandemie stillgelegt, nun hat der beliebte Freizeitpark in Kalifornien wieder auf.",world,2021-05-01T08:28:47Z
blick,Australien: Bis zu fünf Jahre Knast für Heimkehrer aus Hochrisikogebiet,"Australien greift durch. Wer sich in einem Hochrisikogebiet aufhielt und illegal nach Down Under einreist, soll bald mit Knast bestraft werden dürfen. Die Höchststrafe dafür? Bis zu fünf Jahre hinter Gittern.",world,2021-05-01T03:01:48Z
20 minuten,Verdacht auf Menschenschmuggel : US-Polizei findet 91 Menschen ohne Papiere in Wohnhaus,"Auf Hinweis einer Entführung finden Polizeibeamte in Houston, im US-Bundesstaat Texas, 91 Frauen und Männer ohne gültige Aufenthaltspapiere.",world,2021-05-01T00:37:51Z
