source,title,description,category,publishedAt
20 minuten,Verletzung im Schädelinneren : Frau lief nach Corona-Test Hirnwasser aus dem Kopf,In Osnabrück ist eine Frau beim Corona-Schnelltest im Inneren ihres Schädels verletzt worden. Danach lief ihr wochenlang Hirnwasser aus dem Kopf.,world,2021-05-01T19:01:07Z
blick,USA: Freizeitpark wieder auf,"13 Monate lang war Disneyland wegen der Corona-Pandemie stillgelegt, nun hat der beliebte Freizeitpark in Kalifornien wieder auf.",world,2021-05-01T08:28:47Z
20 minuten,Verdacht auf Menschenschmuggel : US-Polizei findet 91 Menschen ohne Papiere in Wohnhaus,"Auf Hinweis einer Entführung finden Polizeibeamte in Houston, im US-Bundesstaat Texas, 91 Frauen und Männer ohne gültige Aufenthaltspapiere.",world,2021-05-01T00:37:51Z
20 minuten,Australien macht ernst : Bis zu fünf Jahre Gefängnis für Heimkehrer aus Hochrisikogebieten,"Australien plant radikale Massnahmen für Personen, die illegal aus Corona-Hochrisikogebieten wie Indien einreisen: Ihnen könnte künftig bis zu fünf Jahren Gefängnis drohen.",world,2021-04-30T20:31:47Z
blick,Indonesien: Veronika Troshina droht Knast wegen Porno-Dreh auf Bali,Für den Dreh eines Amateur-Sexclips haben sich die Russin Veronika Troshina (22) und ihr Partner ausgerechnet einen heiligen Berg auf Bali ausgesucht. Dafür sucht sie nun die Polizei,world,2021-04-30T18:30:13Z
blick,Die grossen Probleme von Premier Boris Johnson - Untersuchung im Gang,Der englische Premier Minister Boris Johnson (56) kann sich vor Kritik kaum retten. Ihm wird unter anderem die Verwendung von Spendengeldern für persönliche Zwecke vorgeworfen.,world,2021-04-30T15:34:25Z
20 minuten,Tomas Karlsson : Hobby-Kartograph findet 2500 Jahre alten Schatz aus der Bronze-Zeit,"Der Schwede Tomas Karlsson entdeckte einen Schatz. Zunächst hielt er die Stücke, die er fand für Müll. Doch damit irrte er sich. Sein Fund sorgt für Aufsehen.",world,2021-04-30T15:00:07Z
20 minuten,Doppelmutante B.1.617 : So gefährlich ist die indische Corona-Mutante für Geimpfte und Genesene,Die Corona-Fallzahlen aus Indien verheissen nichts Gutes: Tag für Tag melden die Behörden Höchststände bei Neuinfektionen und Toten. Vorsichtig gute Nachrichten gibts zur erstmals in Indien aufgetauchten Virusvariante B.1.617.,world,2021-04-30T14:14:27Z
blick,Zoonosen: Droht nun eine Mers-Pandemie?,"Die Atemwegserkrankung Middle East Respiratory Syndrome, kurz Mers, hatte 2012 für Schlagzeilen gesorgt. Mehr als 850 Menschen starben daran. In Kenia wird derzeit befürchtet, der Erreger, der unter Kamelen grassiert, könnte mutieren und auf Menschen übergehen.",world,2021-04-30T12:57:00Z
blick,Forscherin untersucht Krankheit der schlafenden Kinder von Schweden,"In Schweden fallen Flüchtlingskinder teilweise über Jahre in einen komaartigen Zustand. Ist etwa alles nur gespielt? Nein, sagt eine Neurologin, die der Schlafkrankheit auf den Grund gegangen ist.",world,2021-04-30T10:46:35Z
blick,Ironman: Ryf läuft mit Streckenrekord zu Sieg in St. George,"In St. George feiert Daniela Ryf ihren zweiten Saisonsieg in einem 70.3-Ironman. Ein gutes Omen für die Mitteldistanz-WM, die im September auf der gleichen Strecke durchgeführt wird.",world,2021-05-01T19:47:11Z
neue schweizer zeitung,"SpaceX, NASA, verschiebt die Rückkehr von Astronauten zur Erde auf Sonntag","Der Veteran der Luftwaffe, Chris Semprosky, spricht über die neuen Experimente, die mit dem gesamten zivilen Weltraumstart von SpaceX vom Missionstraining",world,2021-05-01T18:59:21Z
schweizer radio und fernsehen (srf),32. Runde der Super League - Luzern verschafft sich weiter Luft im Abstiegskampf,Der FC Luzern gewinnt bei Vaduz 2:1 und baut den Vorsprung auf den Barrageplatz auf 9 Punkte aus.,world,2021-05-01T18:28:00Z
20 minuten,Final gegen Genf : Zug ringt die Lakers nieder und steht im Playoff-Final,Der EV Zug setzt sich gegen die Rapperswil-Jona Lakers in der Best-of-Five-Serie mit 3:1 durch. Das Spiel am Samstag endet mit 6:3.,world,2021-05-01T18:12:00Z
schweizer radio und fernsehen (srf),Rückruf Banknoten-Serie 8 - Kurze Ablauffrist der alten Banknoten sorgt für Ärger,Die Banknoten der Serie 8 gelten seit Freitag nicht mehr als Zahlungsmittel. Man muss sie nun bei der Bank eintauschen.,world,2021-05-01T18:04:00Z
