source,title,description,category,publishedAt
20 Minuten,Saison endet bald : Hunderte Bergsteiger drängen in letzter Minute auf den Mount Everest,"Aus dem Basislager wurden zahlreiche Corona-Infektionen gemeldet, aber das Abenteuer geht dennoch weiter. Nepal ist nach einer ausgefallenen Saison auf die Einnahmen angewiesen.",world,2021-05-29T18:15:23Z
BLICK,USA lockt Impfgegner und Skeptiker mit attraktiven Belohnungen,"Bei der zweiten Hälfte der rund 260 Millionen Erwachsenen in den USA stagniert die Impfkampagne. Das liegt nicht etwa am fehlenden Nachschub, sondern an den Skeptikern und Impfgegnern. Um diese umzustimmen, lockt die USA nun mit attraktiven Belohnungen.",world,2021-05-29T17:49:08Z
BLICK,"Techniker nach Seilbahn-Unglück: ""Ich bin schuld an ihrem Tod""",Nach dem tragischen Gondel-Absturz am Lago Maggiore hat ein Techniker seine Mitschuld am Unglück gestanden.,world,2021-05-29T17:41:27Z
Schweizer Radio und Fernsehen (SRF),Dunkles Kapitel Kanadas - Überreste von 215 Kindern kanadischer Ureinwohner entdeckt,Sie galten jahrzehntelang als verschwunden: nun wurden sie auf dem Gelände eines «Umerziehungscamps» gefunden.,world,2021-05-29T16:54:00Z
20 Minuten,Neue Variante bestätigt : Vietnam-Mutation ist Kombination aus indischem und britischem Virusstamm,Das Coronavirus mutiert ständig. Jetzt haben die Behörden des südostasiatischen Staates Vietnam eine neue Virusvariante nachgewiesen.,world,2021-05-29T12:07:12Z
BLICK,München: Mann überlebt Corona nach 129 Tage auf Intensivstation,"Ein Mann in seinen 40ern erkrankte derart schwer an Corona, dass er über vier Monate auf der Intensivstation verbrachte und mehr als die Hälfte der Zeit von einer Herz-Lungen-Maschine am Leben gehalten wurde. Die Ärzte hatten die Hoffnung bereits aufgegeben.",world,2021-05-29T09:22:32Z
BLICK,Kann man vor oder nach der Impfung Alkohol konsumieren?,Beeinträchtigt Alkoholkonsum die Corona-Impfung? Blick hat bei Swissmedic und dem BAG nachgefragt.,world,2021-05-29T07:41:41Z
BLICK,Bei Coronaimpfungen: Österreichische Ärztin verwendet Spritze mehrmals,Schlechte Nachrichten für Mitarbeiter eines Unternehmens in Österreich. Sie wurden zwar gegen Corona geimpft. Allerdings benutzte die zuständige Ärztin dabei mehrfach die gleiche Spritze!,world,2021-05-29T04:57:54Z
20 Minuten,Erzwungene Landung : USA verhängen wegen Ryanair-Vorfall Sanktionen gegen Weissrussland,Nach der EU reagieren nun auch die USA auf die erzwungene Landung eines Passagierflugzeugs in Minsk und verhängen Strafmassnahmen gegen Weissrussland.,world,2021-05-29T00:58:33Z
Schweizer Radio und Fernsehen (SRF),Coronavirus weltweit - Die internationale Lage in der Übersicht,Indien meldet 173'790 Corona-Neuinfektionen binnen 24 Stunden – das ist der niedrigste Anstieg seit 45 Tagen.,world,2021-05-28T22:18:00Z
Neue Schweizer Zeitung,Kommender Biomutant-Patch mit „Änderungen basierend auf Community-Feedback“ • Eurogamer.net,"Der Entwickler hinter Biomutant sagte, dass das kommende Update das Spiel erheblich verbessern wird.Experiment 101 sagte, dass dieses Update, das bald",world,2021-05-29T20:39:22Z
20 Minuten,Euthanasieaktion der Nazis : Konsul rettete rund 150 Schweizer «Irre» vor Vergasung,"Aus Kostengründen befanden sich in der Zeit des Zweiten Weltkriegs psychisch Kranke aus der Schweiz in einer Anstalt in Vorarlberg, Österreich. Dort drohte ihnen der Tod wegen einer Vernichtungsaktion der Nazis.",world,2021-05-29T20:30:33Z
BLICK,Relegation: Köln siegt bei Holstein Kiel und bleibt in der Bundesliga,"Das Relegation-Rückspiel zwischen Holstein Kiel und Köln ist zu Beginn ein Wechselbad der Gefühle. Letztlich aber spielen die Geissböcke souverän, sie bleiben damit in der Bundesliga.",world,2021-05-29T17:52:56Z
20 Minuten,"""Danke für alles, das Ihr tut""",Wie die meisten Briten und der Rest des Königshauses hat nun auch die Herzogin ihre erste Impfdosis erhalten.,world,2021-05-29T17:02:59Z
BLICK,Schweizer Covid-Tablette vor dem Durchbruch,Ein neuer Hoffnungsträger im Kampf gegen Corona kommt aus Basel: Das Arzneimittel wirkt in allen Erkrankungsphasen – und es ist günstig.,world,2021-05-29T16:37:02Z
20 Minuten,Quiz zum CL-Final : ManCity oder Chelsea – wer gewinnt die Champions League?,Die lange Saison der Champions League geht zu Ende. Der Gewinner kommt in jedem Fall aus England. Welcher Trainer taktiert besser?,world,2021-05-29T16:10:55Z
BLICK,Fast 8 Jahre Haft für Schweizer Ex-Banker,"Im Petrobras-Skandal wurde diese Woche ein Schweizer Ex-Banker in Brasilien verurteilt. Andrea B. muss knapp acht Jahre ins Gefängnis. Der Richter habe Tatsachen zu seinen Gunsten gedreht, teilt B. Blick mit. Er geht in Berufung.",world,2021-05-29T16:00:18Z
BLICK,"Komiker Markus Maria Profitlich hat Parkinson, seine Ehe leidet darunter",Die Ehe des deutschen Comedians Markus Maria Profitlich werde durch seine Parkinson-Erkrankung «stapaziert». Das erzählt er nun in einem Interview.,world,2021-05-29T15:54:36Z
Schweizer Radio und Fernsehen (SRF),Qualifying zum GP Mugello - Schwerer Sturz von Jason Dupasquier,Der Schweizer Jason Dupasquier wurde im Qualifying zum GP von Italien in der Moto3-Klasse Opfer eines schweren Sturzes.,world,2021-05-29T13:47:00Z
Schweizer Radio und Fernsehen (SRF),Rahmenabkommen - Cassis: Volksnein wäre viel gravierender gewesen als Abbruch,"Dem Bundesrat sei klar geworden, dass die Vorlage «nie durch das Volk» gekommen wäre, so Cassis.",world,2021-05-29T12:12:00Z
Nzzas.nzz.ch,Hackerangriffe auf Android-Handys: Vor dem grossen Knall - NZZ am Sonntag,Immer noch werden ältere Android-Handys zu spät und zu selten mit Updates versorgt. Das erhöht das Sicherheitsrisiko.,world,2021-05-29T19:45:00Z
Notebookcheck,Sony WF-1000XM4: Geleaktes Promovideo zeigt alle Vorteile der kommenden True Wireless Earbuds mit ANC - Notebookcheck.com,"Offizielle Renderbilder der Sony WF-1000XM4 kursieren ja bereits seit Wochen im Netz, zuletzt wurden auch die wichtigsten Features der True Wireless Earbuds mit aktiver Geräuschunterdrückung geleakt. Ein offizielles Promovideo tauchte nun auch noch auf und kl…",world,2021-05-29T19:37:00Z
Www.nau.ch,Moto3: Schweizer Jason Dupasquier stürzt in Mugello-Quali schwer,Schock in der Moto3! Der Schweizer Jason Dupasquier stürzt im Qualifying zum GP von Italien schwer und muss mit dem Helikopter ins Spital gebracht werden.,world,2021-05-29T16:28:43Z
Bluewin.ch,Spektakel im Relegations-Rückspiel: Köln nach Start-Furioso mit einem Bein in vier Zehen im Oberhaus,Der 1. FC Köln bleibt mindestens eine dritte Saison in der Bundesliga. Dank einem 5:1-Sieg bei Holstein Kiel im Barrage-Rückspiel halten die Kölner die Klasse.,world,2021-05-29T15:58:17Z
Telebasel.ch,Eishockey-WM im Ticker: Schweiz vs. Russland,Verfolgen Sie die Spiele der Schweiz an der Eishockey-WM live im Ticker.,world,2021-05-29T13:18:50Z
Heilpraxisnet.de,Krankheitserreger: Tausende neue Bakterien und Viren entdeckt,Forschung: Neue Viren- und Bakterienstämme entdeckt Derzeit halten das Coronavirus SARS-CoV-2 und die durch das Virus ausgelöste Erkrankung COVID-19 die ganze Welt in Atem. Doch auch zahlreiche weitere Krankheitserreger können Infektionskrankheiten verursache…,world,2021-05-29T11:40:59Z
Watson.ch,Oatly: Wie ein schwedischer Hafermilchproduzent die Welt erobern will,"«Wie Milch, nur für Menschen»: Dieser Satz ziert derzeit zahlreiche Plakatwände in Zürich und Basel. Dahinter steckt der schwedische Hafermilchproduzent Oatly. Und dieser kennt in Sachen Wachstum nur eine Richtung: Steil bergauf.",world,2021-05-29T11:35:00Z
Games.ch,Launch-Trailer zu World's End Club - Ab sofort für Switch erhältlich - Games.ch,"Das Sidescrolling-Action-Adventure ""Worlds End Club"" ist in Europa ab sofort für die Nintendo Switch erhältlich, weswegen NIS America einen Launch-Trailer zeigt..",world,2021-05-29T10:40:00Z
Blick.ch,Bergung von abgestürztem Tiger-Kampfjet begonnen,"Auf der Melchsee-Frutt OW hat am Samstagmorgen die Bergung des Tiger-Kampfjets begonnen, der am Mittwoch abgestürzt war. Das Flugzeug musste zu diesem Zweck in drei Teile zertrennt werden. Diese gelangten per Helikopter und Lastwagen nach Buochs NW.",world,2021-05-29T10:29:06Z
Www.srf.ch,Treffen in Sotschi - Lukaschenko: Auf Tauchstation mit Putin,"Worüber Alexander Lukaschenko mit Wladimir Putin gesprochen hat, bleibt ihr Geheimnis. Ihre Freundschaft ist trügerisch.",world,2021-05-29T09:52:00Z
Tagesanzeiger.ch,Dokumente zum Rahmenabkommen - Bundesrat reicht Strafanzeige wegen Indiskretionen ein,In der Schlussphase der Verhandlungen mit der EU waren mehrfach interne Dokumente an die Öffentlichkeit gelangt. Die Bundesanwaltschaft hat ein Strafverfahren wegen Verdachts auf Verletzung des Amtsgeheimnisses gegen Unbekannt eröffnet.,world,2021-05-29T09:46:18Z
20 Minuten,Per Zufall Brand von Patrouille entdeckt,"Polizisten entdeckten auf einer gewöhnlichen Patrouillenfahrt einen Brand und begannen gleich, diesen zu löschen.",nation,2021-05-29T14:21:46Z
BLICK,Lauterbrunnen BE: Polizei steht vor Tür von Alphornspieler Willi Michel,In Lauterbrunnen BE steht am Sonntagabend plötzlich die Polizei vor Willi Michels (75) Haustür. Zum Einsatz kam es aufgrund seines Alphorns.,nation,2021-05-29T13:52:08Z
BLICK,Schwellbrunn AR: Mann stürzt mit Geländewagen Böschung runter und läuft weg,"Am Freitagmorgen fand die Polizei in Schwellbrunn AR ein Geländewagen neben der Strasse, in der abfallenden Strassenböschung. Der Lenker verliess die Unfallstelle ohne Schadenregulierung.",nation,2021-05-29T06:23:20Z
Schweizer Radio und Fernsehen (SRF),Das Neueste zur Coronakrise - Hunderte protestieren in London gegen Impfungen und Lockdowns,In der Nähe des Parlaments protestierten Corona-Leugnern und Lockdown-Gegner gegen die staatlichen Restriktionen.,nation,2021-05-29T03:42:44Z
Schweizer Radio und Fernsehen (SRF),Überraschende Teilnehmerzahl - Tausende auf dem Velo an Demonstrationsumzug in der Stadt Zürich,"Auf Twitter warnte die Stadtpolizei vor Einschränkungen im Stadtverkehr, betroffen waren auch Tram- und Buslinien.",nation,2021-05-28T23:47:00Z
20 Minuten,Luzerner Grossstadträtin fordert Unisex-Toiletten und -Garderoben in Schulen,An der Kantonsschule Enge in Zürich gibt es sie schon: Unisex-Toiletten. Nun sollen auch an Stadtluzerner Schulen genderneutrale Toiletten sowie Garderoben zur Verfügung gestellt werden. Dies fordert SP-Grossstadträtin Regula Müller in einem Postulat.,nation,2021-05-28T19:12:06Z
Schweizer Radio und Fernsehen (SRF),Mit 137'000 Unterschriften - Gewerkschaftsbund reicht Initiative für 13. AHV-Rente ein,Der Schweizerische Gewerkschaftsbund SGB will mit der Initiative für bessere Renten kämpfen.,nation,2021-05-28T18:24:00Z
20 Minuten,Hitzkirch LU : Fische überleben Hausbrand - Katze nicht,"Am Donnerstagnachmittag kommt es zu einem Brand in Hitzkirch LU. Zwei Familien mussten evakuiert werden und blieben unverletzt. Während zehn Fische den Brand überstanden haben, überlebte eine Katze nicht.",nation,2021-05-28T14:16:27Z
Blick.ch,Rolls-Royce Boat Tail: Drei Picknick-Mobile im Yacht-Stil auf Kundenwunsch,"Luxus läuft! Aber reichlich Geld führt nicht automatisch zu viel Geschmack: Der nur drei Mal gebaute Rolls-Royce Boat Tail ist zwar höchst elegant designt, aber im Detail auch ein Beispiel, wie man irre viel Geld für eher alberne Ideen ausgeben kann.",business,2021-05-29T15:50:26Z
Blick.ch,Das Ende des Airbus A380 – Branche rechnet mit dem Superjumbo ab,Was für eine Schelte von Qatar-Airways-Chef Akbar Al Baker! Seine Airline wird das grösste Flugzeug der Welt wohl nie mehr einsetzen. Der Trend in der Branche ist seit Monaten klar: Das Ende des Superjumbos naht.,business,2021-05-29T09:07:37Z
Tagesanzeiger.ch,Umstrittene Praxis – UPC-Kunden können nur noch telefonisch oder im Chat kündigen,Der Kabelnetzbetreiber akzeptiert ab Juni keine schriftlichen Kündigungen von langjährigen Kunden mehr. Auch andere Anbieter wenden diese Praxis an. Der Konsumentenschutz hält sie für rechtsmissbräuchlich.,business,2021-05-29T08:13:52Z
Www.nau.ch,Türkische Lira fällt auf Rekordtief,Die Staatswährung der Türkei die Lira ist auf ein Rekordtiefgefallen. Grund dafür seien die vielen Personalrochaden bei der türkischen Zentralbank.,business,2021-05-28T21:20:00Z
Aerotelegraph.com,Boeing gerät beim Dreamliner erneut ins Stocken,Nach monatelanger Pause hatte Boeing die Auslieferungen der 787 erst im März wieder aufgenommen. Nun gibt es erneut eine Pause.,business,2021-05-28T14:23:00Z
Tagesanzeiger.ch,Zürcher Grossbank passt Angebot an - ZKB schliesst fünf Filialen im Kanton,Bis Ende 2022 baut die Grossbank bediente Filialen ab. Betroffen sind neben Seebach vier Gemeinden. Gleichzeitig experimentiert die Bank mit neuen Angeboten.,business,2021-05-28T12:43:04Z
Blick.ch,Zuger Quantum Holding bleibt bei Kaufangebot für Lamborghini,Die Zuger Quantum Holding lässt sich bei ihrem Angebot für die Sportwagenmarke Lamborghini von der Abfuhr durch den Volkswagen-Konzern nicht entmutigen und legt nach.,business,2021-05-28T10:29:04Z
20 Minuten,Der SUV von Smart soll sexy und cool werden,Aus dem winzigen Zweiplätzer soll bald ein kompakter SUV mit 4 Metern Länge werden. Der Elektroantrieb bleibt erhalten.,business,2021-05-28T09:00:00Z
Insideparadeplatz.ch,Mother Of All Short Squeezes - Inside Paradeplatz,Die „Meme“-Aktie AMC schiesst gerade durch die Decke und könnte zu einem Beben an den Börsen führen. Die SNB steckt mitten drin.,business,2021-05-28T05:17:37Z
BLICK,Schalter machen dicht: Grösste Schweizer Kantonalbank schliesst Fillialen,Das Schaltersterben in der Schweiz geht weiter. Die Zürcher Kantonalbank schliesst weitere fünf Filialen. Sie macht ein verändertes Kundenverhalten geltend.,business,2021-05-28T13:06:04Z
finews.ch,CS-Greensill: Heikle Schicksals-Gemeinschaft mit dem Stahlbaron,"Um die Liquidation der Greensill-Fonds voranzubringen, hat sich die Credit Suisse mit dem hoch verschuldeten Sanjeev Gupta auf ein Abkommen eingelassen. Das entpuppt sich als gewagtes Spiel für die Schweizer Grossbank.",business,2021-05-28T04:08:00Z
BLICK,Migros baut Abfüllstationen für Lebensmittel in Filialen schweizweit aus,"Noch mehr Unverpackt-Stationen: Die Migros kündigt für weitere Landesteile einen Ausbau aus. Bald können Kunden schweizweit in den M-Supermärkten Teigwaren, Süssigkeiten oder Trockenfrüchte unverpackt abfüllen und einkaufen.",business,2021-05-27T10:28:35Z
