source,title,description,category,publishedAt
20 Minuten,Klimakiller Cannabis : Anbau von Marihuana ist klimaschädlicher als Kohleabbau,"Kiffen hat nicht nur Auswirkungen auf die Gesundheit der Konsumentinnen und Konsumenten, sondern auch auf das Klima. Und zwar schädliche. US-Forschende schlagen nun eine andere Herangehensweise vor.",world,2021-05-05T16:45:37Z
20 Minuten,Frankreich : Polizeibekannter Mann verbrennt Lebensgefährtin bei lebendigem Leib,Im französischen Mérignac hat ein Mann seine Lebensgefährtin niedergeschossen und angezündet. Die Tat in der Nähe von Bordeaux sorgt für Entsetzen.,world,2021-05-05T16:43:06Z
Schweizer Radio und Fernsehen (SRF),Touristen wieder willkommen - Reiseland Italien öffnet Mitte Mai,"«Die Zeit ist gekommen, Ihre Ferien in Italien zu buchen», sagt Premier Mario Draghi. Das müssen Sie vorher wissen.",world,2021-05-05T14:35:00Z
20 Minuten,Untergetaucht auf Mallorca : Wie ein Pudel eine totgeglaubte Betrügerin entlarvte,"In Mallorca fanden Privatdetektive eine Frau, die ihren Arbeitgeber um eine Million Euro betrogen haben soll. Den Hinweis gab ein flauschiger Hund.",world,2021-05-05T14:27:58Z
BLICK,Frankreich: Dreifache Mutter von Partner bei lebendigem Leib verbrannt,Wahnsinnstat in Frankreich: Ein Familienvater hat seine Frau bei lebendigem Leib verbrannt.,world,2021-05-05T13:13:10Z
BLICK,Betrug in Indonesien: - Corona-Tests wurden mehrmals verwendet,"Weil sie gebrauchte Corona-Tests gewaschen und wiederverkauft haben, wurden mehrere Mitarbeiter eines Pharmaunternehmens in Indonesien verhaftet. Bis zu 9000 getestete Passagiere sollen von dem Betrug betroffen sein.",world,2021-05-05T12:22:05Z
BLICK,Prinz von Liechtenstein erschiesst den grössten Braunbären Europas,"Braunbären sind vom Aussterben bedroht und deswegen in ganz Europa streng geschützt. Das soll Prinz Emanuel von Liechtenstein aber nicht davon abgehalten haben, in Rumänien den grössten Braunbären Europas zu erschiessen.",world,2021-05-05T08:42:12Z
20 Minuten,Im Spital in Marokko,Halima Cisse (25) brachte per Kaiserschnitt neun Babys auf die Welt. Bei einer Ultraschalluntersuchung zuvor entdeckte der Arzt zunächst sieben Babys.,world,2021-05-05T08:17:24Z
Schweizer Radio und Fernsehen (SRF),Coronavirus weltweit - Die internationale Lage in der Übersicht,Bis zum US-Nationalfeiertag sollen gemäss Präsident Biden 160 Millionen Menschen bereits vollständig geimpft sein.,world,2021-05-05T00:43:00Z
20 Minuten,Brasilien : 18-Jähriger greift Kinderkrippe mit Messer an – mehrere tote Kinder,"In Brasilien hat ein Mann eine Kinderkrippe angegriffen. Es soll mindestens vier Tote geben, zwei Betreuerinnen und zwei Kinder.",world,2021-05-04T19:17:14Z
Schweizer Radio und Fernsehen (SRF),Das Neueste zur Coronakrise - Zu grosser Ansturm: Berner Impf-Webseite überlastet,Nach dem Aufschalten der beiden grossen Impfgruppen M und N im Kanton Bern brachte der Ansturm das System zum Erliegen.,world,2021-05-05T20:07:46Z
BLICK,Sie hackte sich zur Schönheitskönigin: US-Schülerin drohen 16 Jahre Haft,"Emily Rose Grover (18) aus Florida wollte die Schönste an ihrer Schule sein. Um dieses Ziel zu erreichen, griff sie auch zu zweifelhaften Mitteln. Jetzt droht ihr eine lange Gefängnisstrafe.",world,2021-05-05T19:39:06Z
20 Minuten,Der EV Zug gewinnt in Genf und hat nun drei Matchpucks für den Meistertitel,Der EV Zug führt in der Final-Serie 2:0 und kann am Freitag seinen zweiten Meistertitel in der Vereinsgeschichte zuhause perfekt machen.,world,2021-05-05T19:28:30Z
Schweizer Radio und Fernsehen (SRF),2:1-Sieg in Genf - Dank Simion und Genoni: Zug siegt erneut und hat Meister-Pucks,Der EVZ setzt sich in Genf durch und ist noch einen Erfolg vom 2. Meistertitel nach 1998 entfernt.,world,2021-05-05T19:17:00Z
BLICK,Nick Kamen (†59) ist tot,Nick Kamen ist im Alter von 59 Jahren verstorben. Das gab Boy George bekannt.,world,2021-05-05T19:01:43Z
Schweizer Radio und Fernsehen (SRF),1:0-Sieg gegen Servette - St. Gallen folgt Luzern in den Cupfinal,St. Gallen schlägt Servette im Cup-Halbfinal auswärts 1:0 und folgt Luzern in den Cupfinal.,world,2021-05-05T17:10:00Z
Schweizer Radio und Fernsehen (SRF),Napoleons Tod auf St. Helena - Napoleons tristes Ende zwischen Ratten und Alkohol,Auf St. Helena fand Napoleon vor 200 Jahren ein tristes Ende. Einen Grossteil des Exils verbrachte er in der Badewanne.,world,2021-05-05T15:46:00Z
Telebasel,Kanada lässt Biontech-Impfstoff für 12- bis 15-Jährige zu,Das Coronavirus stellt die Schweiz und die Welt auf den Kopf. Hier im Ticker bleiben Sie über die aktuellen Ereignisse auf dem Laufenden.,world,2021-05-05T15:10:35Z
