source,title,description,category,publishedAt
Blick.ch,Unfassbares Angebot aus Portugal für Torhüter-Legende Gigi Buffon,"Juve-Legende Gigi Buffon nach Lissabon? Der 43-Jährige wird heiss umworben, allerdings hat das Angebot einen süssen Haken.",sport,2021-05-25T10:00:46Z
Telebasel.ch,Hansi Flick wird neuer Trainer der deutschen Nationalmannschaft,Der zurückgetretene Bayern-Trainer Hansi Flick wird neuer Trainer der deutschen Nationalmannschaft. Er erhält einen Vertrag bis 2024.,sport,2021-05-25T09:10:31Z
Bluewin.ch,"Federer: «Es ist, als wäre mein Leben auf der Tour vorbeigezogen»","Am kommenden Montag fällt in Paris der Startschuss zu den diesjährigen French Open, wo Roger Federer seinen ersten Grand-Slam-Match nach über einjähriger Pause bestreiten wird. Sein letztes Comeback?",sport,2021-05-25T09:02:18Z
20 Minuten,Zwei SRF-Comedians lügen sich am Geneva Open zu einem Federer-Treffen,"Sie wollen unbedingt einmal Roger Federer treffen, um ihn in ihre Sendung einzuladen. Aus diesem Grund erschleichen sich die «Zwei am Morge»-Comedians den Zutritt zu einem Spiel des Schweizer Tennisstars.",sport,2021-05-25T07:47:59Z
Transfermarkt.ch,Maignan zum Medizincheck in Mailand erwartet – Donnarumma-Abschied bahnt sich an - Transfermarkt,Der Wechsel von Mike Maignan (25) zur AC Milan scheint auf der Zielgeraden zu sein. Damit wird auch ein Abschied von Gianluigi Donnarumma konkreter.,sport,2021-05-25T07:12:00Z
Watson.ch,"Ausmisten beim FC Basel: Klose, Zuffi und viele weitere müssen gehen","Der FC Basel trennt sich gleich von sieben Spielern, zwei weitere stehen auf der Kippe. Ein Neuzugang dürfte bald präsentiert werden und bis zur neuen Saison könnten weitere Transfers folgen.",sport,2021-05-25T06:56:00Z
Www.srf.ch,Haas mit Edmonton gescheitert – Minnesota schiesst nur 14 Mal aufs Tor – und gewinnt 4:2,Kevin Fiala verkürzt mit den Wild in den Playoffs gegen Vegas Golden Knights auf 2:3. Edmonton kassiert einen «Sweep».,sport,2021-05-25T05:31:00Z
20 Minuten,Nati-Star Hischier zur WM - «Die Schweiz zu repräsentieren macht mich schon stolz»,Die Schweizer Hockey-Nati ist erfolgreich in die WM in Riga gestartet. Die Hoffnungen auf eine erste Goldmedaille werden grösser. Auch Starspieler Nico Hischier hat Edelmetall im Blick.,sport,2021-05-25T02:51:40Z
Www.srf.ch,Nach dem Cupfinal – Tausende feiern den Sieg «ihres» FC Luzern,"Friedliche und freudige Stimmung auf der Luzerner Allmend, wo die blau-weissen Fans die Siegermannschaft feierten.",sport,2021-05-25T00:47:00Z
Blick.ch,Bochum-CEO Kaenzig zum Aufstieg: Bei uns gibts keine Bentleys und Porsches,"Der Arbeiterklub VfL Bochum ist zurück in der Bundesliga. «Das Drehbuch ist fast kitschig schön», sagt Ilja Kaenzig, der Schweizer Baumeister dieses Erfolges.",sport,2021-05-24T23:36:10Z
Bluewin.ch,Kanada verliert auch gegen Deutschland – Slowakei bodigt Russland,"Kanada droht an der WM in Riga die Viertelfinals zu verpassen. Die Nordamerikaner verlieren auch das dritte Spiel an diesem Turnier, diesmal mit 1:3 gegen das verlustpunktlose Deutschland.",sport,2021-05-24T20:26:59Z
Blick.ch,Nach Pleiten gegen Dänemark und Belarus – was ist mit Schweden los?,"«Peinlich und schädlich fürs schwedische Hockey», lautet eine der Schelten in der Heimat des Weltmeisters von 2018. Der Knüller gegen die Schweiz ist nun bereits ein Schlüsselspiel. Die Schweden sind angeschlagen.",sport,2021-05-24T18:06:12Z
Bluewin.ch,"13,09 Sekunden über 100 m Hürden – Starker Auftritt von Noemi Zbären","Noemi Zbären ist auf dem Weg zurück zu alter Stärke. Der Emmentalerin gelingt beim Pfingstmeeting in Basel in 13,09 Sekunden über 100 m Hürden ein vielversprechender Saisoneinstieg.",sport,2021-05-24T17:28:00Z
Speedweek.com,Das hatte sich Randy Krummenacher anders vorgestellt,Die Ränge 11 und 9 bei der Supersport-WM in Aragon entsprechenden weder dem Können noch dem Anspruch von Ex-Champion Randy Krummenacher. Das Comeback war von unglücklichen Umständen geprägt.,sport,2021-05-24T17:05:03Z
Www.srf.ch,3:0-Sieg in der Finalserie - LK Zug sichert sich den Meistertitel,Die Handballerinnen des LK Zug gewinnen das dritte Finalspiel gegen Brühl SG (33:29) und machen das Double perfekt.,sport,2021-05-24T16:31:00Z
