source,title,description
blick.ch,SCB-Sportchefin Florence Schelling und Alex Chatelain müssen gehen - BLICK,Hockey-Knall! Nach nur einem Jahr im Amt ist SCB-Sportchefin Florence Schelling ihren Job wieder los. Auch Alex Chatelain muss gehen. Johan Lundskog wird neuer Trainer.
bluewin.ch,Ein ehemaliger Weggefährte über Roger Federer: «Er brach sogar Tabus» - bluewin.ch,"Ein Genfer Sportjournalist, der einst auch mit Roger Federer auf dem Platz stand, gewährt in seinem Buch neue und spannende Einblicke in die Welt des 20-fachen Grand-Slam-Siegers."
www.srf.ch,News aus dem Tennis – Wildcard für Dominic Stricker in Genf - Schweizer Radio und Fernsehen (SRF),Hier finden Sie die wichtigsten Tennis-Kurzmeldungen des Tages.
speedweek.com,Aramco Racing Team VR46 ab 2022 in der MotoGP - SPEEDWEEK.COM,"Das Abkommen zwischen dem Rossi-Rennstall und Tanal Entertainment Sport & Media ist unterzeichnet, das Aramco Racing Team VR46 steht vor dem Debüt in der Königsklasse MotoGP im Jahr 2022."
blick.ch,Ex-EVZ-Spieler Timo Helbling findet die Schwalbe von Abdelkader lächerlich - BLICK,Für die nötige Härte hat der EVZ Justin Abdelkader engagiert. Doch der Ex-NHL-Spieler lässt sich theatralisch fallen nach einem Treffer von Laker Jelovac. Ex-Zug-Haudegen und MySports-Experte Timo Helbling hat eine klare Meinung dazu.
motorsport-total.com,Formel-1-Liveticker: Schumacher: Diesen Rat hat ihm Vater Michael gegeben - Motorsport-Total.com,Aktuell im Formel-1-Liveticker: +++ Mick Schumacher: Rat von Vater Michael +++ Lowe: Mercedes 2014 fast nie mit voller Power +++ Kanada-GP vor dem Aus +++
www.srf.ch,Duell in der Champions League - Wiedererstarktes PSG gegen «defensiv schwaches» ManCity - Schweizer Radio und Fernsehen (SRF),Paris St-Germain empfängt im Halbfinal-Hinspiel der «Königsklasse» ManCity – oder: Offensivpower gegen Ballbesitz.
blick.ch,"Irre Torquoten, Querflöten-Unterricht und Museen: So tickt Kylian Mbappé - BLICK",Vom Banlieue-Kicker zum Idol eines ganzen Landes: Kylian Mbappés steiler Aufstieg erklärt sich mit seinem unfassbaren Talent und riesiger Leidenschaft. Doch nicht immer in seinem Leben dreht sich alles um Fussball.
www.nau.ch,Timo Werner: Monster-Fehlschuss gegen Real Madrid wird Internet-Hit - Nau.ch,Timo Werner wird nach dem 1:1-Remis von Chelsea gegen Real Madrid wohl schlecht geschlafen haben. Sein Fehlschuss nach neun Minuten ist schlicht unfassbar.
bluewin.ch,"PSG soll Messi ein Angebot gemacht haben, bei dem Barça nicht mithalten kann - bluewin.ch","Paris Saint-Germain soll Superstar Lionel Messi ein Vertragsangebot unterbreitet haben, welches der FC Barcelona laut einer zuverlässigen Quelle nicht matchen kann."
watson.ch,Transfer-Ticker: BVB will Gregor Kobel als neue Nummer 1 - watson,"Keinen wichtigen Wechsel und kein spannendes Gerücht mehr verpassen: Hol dir jetzt den watson-Transfer-Push! So einfach geht's:
RB Leipzig hat den Nachfolger …"
blick.ch,Floyd Mayweather und Youtuber Logan Paul steigen in den Ring - BLICK,Der frühere Box-Weltmeister Floyd Mayweather jr. steigt für einen Schaukampf erneut in den Ring.
watson.ch,Hischier leitet seltenen Devils-Sieg ein – auch Niederreiter trifft - watson,"Nico Hischier, 1 Tor, 1 Schuss, 2 Blocks, 20:31 TOIJonas Siegenthaler im Covid-Protokoll
Nach zehn Niederlagen in Serie dürfen die New Jersey Devils wieder …"
watson.ch,Die ZSC Lions oder die Hilflosigkeit der Millionäre - watson,"Bloss zwei Tore in zwei Spielen gegen einen 37-jährigen Ersatzgoalie. Wie kann es sein, dass die ZSC Lions gegen Servette offensiv so hilflos sind und nur noch eine Niederlage vor dem Saisonende stehen?"
20 minuten,Rashed Al-Swaisat - 19-jähriger Boxer stirbt nach Verletzungen an Junioren-WM - 20 Minuten,Ein 19-jähriger Boxer aus Jordanien ist im Spital seinen Verletzungen erlegen. Diese zog er sich an den Junioren-Boxweltmeisterschaften in Polen zu.
eurosport.de,Roger Federer ausgesperrt: Ringer Küng erzählt kuriose Anekdote zum Schweizer Superstar - Eurosport DE,"Roger und Mirka Federer gelten als Traumpaar des Schweizer Sports. Seit über 20 Jahren zusammen, sind die beiden inzwischen Eltern von vier Kindern."
www.srf.ch,Halbfinals in den Playoffs - Dank Blitz-Doppelschlag: Zug schafft bei den Lakers das Break - Schweizer Radio und Fernsehen (SRF),Der EVZ bezwingt Rapperswil-Jona auswärts mit 4:2 und erspielt sich in der Halbfinal-Serie 2 Matchpucks.
blick.ch,Kultur-Schock für Federer: Wimbledon verbietet Haus-Miete - BLICK,"Hotelzimmer statt Mietshäuser: Roger Federer (39, ATP 8) wird sich bei seiner Rückkehr nach Wimbledon an ein anderes Ambiente gewöhnen müssen."
motorsport-total.com,Auch ohne Renault-Wechsel: Ricciardo wäre heute nicht mehr bei Red Bull - Motorsport-Total.com,"McLaren-Pilot Daniel Ricciardo bereut seinen Wechsel zu Renault Ende 2018 nicht - Er w&auml;re heute so oder so nicht mehr bei Red Bull, erkl&auml;rt der Australier"
20 minuten,Gerardo Seoane - Nach Nagelsmann-Beben – YB-Trainer jetzt bei drei Clubs auf dem Zettel - 20 Minuten,Verrückt: Die sieben bestplatzierten Clubs der Bundesliga haben in der nächsten Saison alle einen neuen Trainer. YB-Coach Seoane soll bei drei offenen Stellen ein Kandidat sein.
20 minuten,Salzburg-Trainer Jesse Marsch wird neuer Leipzig-Coach,In der Bundesliga dreht sich das Trainer-Karussell immer weiter. Am Mittwoch könnte RB Leipzig bereits den Nachfolger des zu Bayern abgewanderten Julian Nagelsmann präsentieren.
auto motor und sport,Vorwürfe gegen FIA: Aston Martin rudert zurück,"Aston Martin zettelte einen Kleinkrieg mit der FIA an. Das Team sah sich durch die Regeländerungen benachteiligt, hat aber inzwischen einen Rückzieher gemacht."
