source,title,description,category,publishedAt
Www.srf.ch,Internationale Fussball-News – Van Dijk verzichtet auf die EURO,Hier finden Sie die wichtigsten Neuigkeiten aus dem internationalen Fussball.,sport,2021-05-12T19:20:00Z
20 Minuten,Verrückte Schlussphase - Irrer Abstiegskampf! St. Gallen und Sion retten kurz vor Schluss einen Punkt,"Der FCZ verspielt erneut eine 2:0-Führung, dieses Mal gegen den FC St. Gallen. Beide können sich nicht aus dem Abstiegskampf verabschieden. Sion kann gegen Luzern ebenfalls ausgleichen. Trotzdem bleiben die Walliser Letzter.",sport,2021-05-12T18:14:17Z
Www.srf.ch,4:1-Sieg im Derby in Genf - Wichtige Punkte für Lausanne im Europacup-Kampf,Die Lausanner gewinnen das Romand-Derby bei Servette 4:1 und rücken auf 1 Punkt an die drittplatzierten Genfer heran.,sport,2021-05-12T18:06:00Z
20 Minuten,Wegen Corona-Reisewarnungen - Der Champions-League-Final wird von Istanbul nach Porto verlegt,Wegen Reisewarnungen für die Türkei muss das Endspiel der Königsklasse an einem anderen Ort stattfinden: im portugiesischen Porto.,sport,2021-05-12T17:25:39Z
Www.srf.ch,5. Etappe beim Giro d'Italia – Wieder grüsst das Murmeltier: Pellauds Flucht erneut erfolglos,3 Kilometer vor dem Ziel wird der Schweizer eingeholt. Der Sieg geht im Sprint an Caleb Ewan.,sport,2021-05-12T15:56:00Z
Blick.ch,Super League: Beim Abstieg droht den FCZ-Spielern saftige Lohnkürzung,Zürich hat aus einem teuren Fehler vom letzten Abstieg gelernt. Diesmal existieren in den Spielerverträgen Lohn-Klauseln für die Challenge League.,sport,2021-05-12T15:31:01Z
Speedweek.com,Dovizioso über Aprilia-Test: «Konnte nicht pushen»,"Das Wetter verkürzte beim Mugello-Test von Andrea Dovizioso das Programm. Der Italiener erklärte hinterher: «Ich kann nicht viel über das Motorrad sagen, weil ich nicht pushen konnte.»",sport,2021-05-12T14:40:56Z
Blick.ch,Alaba erwirbt 2 Prozent seines Heimatklubs Austria Wien für 500'000 Euro,"David Alaba, der Österreicher in Diensten von Bayern München, erwirbt zwei Prozent seines Heimatklubs Austria Wien und bezahlt dafür rund 500'000 Euro.",sport,2021-05-12T14:39:30Z
Blick.ch,Oliver Kahn: Bayern München kann sich Erling Haaland nicht leisten,Noch ist die Zukunft von Dortmunds Superstürmer Erling Haaland nicht geklärt. Bleibt er beim BVB? Wechselt er für viel Geld zu einem Top-Klub? Klar ist aber dies: Zu Liga-Konkurrent und Serienmeister Bayern München wechselt der Norweger nicht.,sport,2021-05-12T14:19:23Z
Eurosport.de,Mischa Zverev erklärt: So kam es bei Alexander Zverev zum Missverständnis in Madrid - Eurosport DE,"Mischa Zverev erklärt im Eurosport-Podcast Das Gelbe vom Ball, wie es zur viel beachteten Aussage seines Bruders nach dem Masters-Titel in Madrid kam.",sport,2021-05-12T14:14:00Z
Blick.ch,Lindsey Vonn verkauft Luxus-Anwesen in Beverly Hills,"Einst war es das Liebesnest, jetzt ist es verkauft: Lindsey Vonn hat einen Käufer für die Millionen-Villa in Beverly Hills gefunden",sport,2021-05-12T13:36:24Z
Motorsport-total.com,"Formel-1-Technik: Das ""Flatter""-Phänomen der ""Flexiwings""",Flexible Fl&uuml;gel stehen sp&auml;testens seit Barcelona wieder im Fokus der Formel 1: Was es mit dem flatternden Fl&uuml;gel bei Red Bull auf sich hat,sport,2021-05-12T13:35:49Z
Bluewin.ch,Die Fehde um Schröcksnadels Nachfolge spaltet die Skination Österreich,"Der langjährige Präsident des österreichischen Skiverbandes Peter Schröcksnadel tritt im Juni ab. Um seine Nachfolge ist ein Streit entbrannt, der nur schwer zu durchschauen ist.",sport,2021-05-12T13:09:59Z
Bluewin.ch,YB-Trainer Seoane in Gesprächen mit Eintracht Frankfurt,2018 beerbte Gerardo Seoane Adi Hütter als Trainer der Young Boys. Jetzt könnte der 42-Jährige in der Bundesliga erneut in die grossen Fussstapfen des Österreichers treten.,sport,2021-05-12T11:31:56Z
Watson.ch,Ajax schmilzt niederländische Meisterschale für Fan-Souvenirs ein,"Vor kurzem wurde Ajax Amsterdam zum 35. Mal niederländischer Meister. Um den Titel in der Corona-Saison doch auf irgendeine Weise mit den Fans zu teilen, haben …",sport,2021-05-12T11:00:00Z
Watson.ch,Transfer-Ticker: Gerardo Seoane trifft sich mit Frankfurt-Bossen,"Keinen wichtigen Wechsel und kein spannendes Gerücht mehr verpassen: Hol dir jetzt den watson-Transfer-Push! So einfach geht's:
Das Trainer-Karussell in der …",sport,2021-05-12T10:50:00Z
Blick.ch,Der frühere NFL-Quarterback Colt Brennan stirbt im Alter von 37 Jahren,"Colt Brennan, der ehemalige Passgeber der University von Hawaii, ist vermutlich an einer Überdosis an Medikamenten gestorben.",sport,2021-05-12T10:44:42Z
Www.nau.ch,Regen-Eklat: Novak Djokovic brüllt den Schiedsrichter an!,Beim ATP-Turnier in Rom verliert Novak Djokovic wegen des nassen Courts die Fassung und schreit den Schiedsrichter an. Dieser unterbricht die Partie daraufhin.,sport,2021-05-12T10:36:26Z
BLICK.CH,FCZ verspielt gegen St. Gallen sicheren Ligaerhalt,2:2 endet der Abstiegs-Knüller im Letzigrund. Der FCZ und St. Gallen sind damit ihre Abstiegssorgen noch nicht los.,sport,2021-05-12T18:11:28Z
BLICK.CH,Super League: Lausanne gewinnt ereignisreiches Léman-Derby gegen Servette,"In einer Halbzeit fallen die Tore, in der anderen fliegen die Fetzen: Lausanne kann nach einem ereignisreichen Derbysieg gegen Servette weiter von Europa träumen.",sport,2021-05-12T15:56:58Z
