source,title,description
20 minuten,Geplante Umlaufbahn erreicht : China startet Rakete mit Kernmodul für neue Raumstation,Die junge Raumfahrtnation China baut ihren eigenen Aussenposten im All. Elf Raumflüge sind in kurzer Zeit geplant.
20 minuten,Spritztouren : Kuh und Alligator stören Berufsverkehr in Houston,Der Verkehr in der texanischen Metropole ist oftmals ein Alptraum. Doch am Mittwoch glich er einem Zoo.
blick,In Potsdam (D): Vier Leichen in Behindertenheim gefunden,In einer Behinderten-Einrichtung in Potsdam (D) sind am Mittwoch-Abend vier Leichen entdeckt worden. Eine Frau wurde festgenommen. Sie soll die Opfer mit einem Messer getötet haben.
20 minuten,«F*ck alles» : Dieses Stinkefinger-Foto beschäftigt den Obersten US-Gerichtshof,"Nachdem sie nicht ins Cheerleading-Team aufgenommen wurde, liess eine 14-jährige Schülerin ihrem Frust freien Lauf. Damit beschäftigen sich nun die obersten Richter der USA."
20 minuten,«Wirbelsturm der Wahrheit» : Die Mafia konnte ihm nichts anhaben – jetzt ist er tot,Der spanische Investigativ-Journalist und Filmemacher David Beriain begab sich für seine Werke immer wieder in Gefahr. Bei Dreharbeiten in Burkina Faso wurde er nun getötet.
schweizer radio und fernsehen (srf),Reisen nach der Impfung - Machtkampf um das digitale EU-Impfzertifikat,Beim EU-Impfpass gibt es Differenzen zwischen Parlament und Mitgliedsländern. Es könnte zu Verzögerungen kommen.
schweizer radio und fernsehen (srf),Pilot der ersten Mondmission - US-Astronaut Michael Collins gestorben,Der US-Astronaut ist im Alter von 90 Jahren gestorben. Dies teilt seine Familie mit.
20 minuten,«Dringender Handlungsbedarf» : Warnung in Deutschland – sind «Graue Wölfe» bei uns auch eine Gefahr?,"Sie bezeichnen sich selbst als «Idealisten», doch die rechtsextremen «Grauen Wölfe» sind antisemitisch, rassistisch, demokratiefeindlich. Eine Studie warnt vor der türkischen rechtsextremen Bewegung in Deutschland. Und in der Schweiz?"
telebasel,Apollo 11-Kommandopilot Michael Collins stirbt 90-jährig,Der «vergessene Astronaut» ist tot: Apollo 11-Kommandopilot Michael Collins stirbt im Alter von 90 Jahren.
blick,Tony Blairs Haare sorgen für Diskussion,Tony Blair ist kaum wiederzuerkennen. Der britische Politiker zeigte sich bei einem Fernsehinterview mit langen Haaren und erntete dafür Spott auf Twitter.
20 minuten,«Game of Thrones»-Star : Natalie Dormer ist Mama geworden – und niemand hats gemerkt,Bereits im Januar hat Natalie Dormer ihr erstes Kind zur Welt gebracht. Aber erst jetzt teilt die Schauspielerin die News mit der Welt.
blick,Diese europäischen Länder wagen Schritte aus dem Lockdown,Im Kampf gegen die Corona-Pandemie haben die Staaten in Europa unterschiedliche Herangehensweisen. Trotz teilweise hoher Inzidenzen läuten viele europäische Länder bereits den Sommer ein.
20 minuten,Ugur Sahin : Biontech-Chef will schon ab Juni Kinder gegen das Coronavirus impfen,"Weil sie bisher nicht geimpft werden können, drohen Kinder bei der Schweizer Öffnungsstrategie zu den Leidtragenden zu werden. Doch nun gibt es Hoffnung von Biontech."
gmx.ch,Das steckt Neues in iOS 14.5,Apple hat die nächste iOS-Version freigegeben. Höhepunkt ist ein neuer Schutz vor Tracking.
20 minuten,Mägenwil AG : BMW-Fahrerin stirbt nach Kollision mit Reh auf A1,Eine 65-jährige Frau ist nach einem Unfall auf der A1 verstorben. Sie war bei Mägenwil AG mit einem Reh zusammengeprallt.
telebasel,Vier Jahre Gefängnis für ehemaligen Kita-Leiter,Ein ehemaliger Kita-Betriebsleiter in Allschwil muss für 4 Jahre ins Gefängnis. Der 36-Jährige habe sich mehrfachen sexuell an Kindern vergriffen.
schweizer radio und fernsehen (srf),100 Tage Biden-Regierung - Joe Biden will die USA fundamental umbauen,Joe Biden will sein Land sozialstaatlicher gestalten. Die für die USA progressiven Visionen stehen aber erst auf Papier.
20 minuten,Betrug und Veruntreuung : Strafanzeige gegen David Degen? Schwere Vorwürfe von Ex-Geschäftspartnern,"Zwei seiner ehemaligen Geschäftspartner erheben schwere Vorwürfe gegen David Degen, wie die «Weltwoche» berichtet. Es geht um 35’000 Franken."
20 minuten,Medienkonferenz Bundesrat : Bundesrätin Viola Amherd warnt vor instabiler Sicherheitslage in Europa,Am Donnerstagmorgen ist der Bericht des Bundesrates zur Sicherheitslage in Europa erschienen. Viola Amherd an einer Medienkonferenz.
blick,Super League: Strafanzeige gegen FCB-Mitbesitzer David Degen,Die «Weltwoche» berichtet mitten im Übernahme-Kampf um den FC Basel von neuen Vorwürfen gegen David Degen. Ex-Geschäftspartner haben Strafanzeige eingereicht.
www.gmx.ch,Das steckt Neues in iOS 14.5 - GMX.ch,Apple hat die nächste iOS-Version freigegeben. Höhepunkt ist ein neuer Schutz vor Tracking. Aber es sind noch weitere praktische Features hinzugekommen - etwa in Verbindung mit der Apple Watch.
itmagazine.ch,Apples Airdrop verrät Mail-Adressen und Telefonnummern - IT Magazine - IT Magazine,Zwar werden bei der Verbindungsaufnahme für die File-Sharing-Funktion Airdrop nur Hashes von Telefonnummern und E-Mail-Adressen übermittelt – aber Hacker können daraus mit Brute-Force-Angriffen die Daten dennoch eruieren.
insideparadeplatz.ch,CS-Top-Manager auf Absprung – zu UBS? - Inside Paradeplatz,"Felix Baumgartner, Chef der Reichsten und Mitglied in CS-Schweiz-Geschäftsleitung, verhandelt über Sprung zu Konkurrenz."
blick.ch,"SNB schreibt im ersten Quartal Mega-Gewinn von 37,7 Mrd Franken - BLICK","Die Schweizerische Nationalbank profitiert von einem schwächeren Franken und dem Boom an den Aktienmärkten. Die SNB vermeldet deshalb einen Mega-Gewinn von 37,7 Milliarden Franken im ersten Quartal."
20 minuten,Quartalszahlen - Swiss macht 201 Millionen Verlust und prüft Verkleinerung der Flotte - 20 Minuten,"Die Schweizer Airline Swiss hat im ersten Quartal massiv Federn gelassen. Um konkurrenzfähig zu bleiben, müsse sich die Airline redimensionieren, sagt der CEO."
telebasel.ch,Daniel Bumann hört als Restauranttester auf - Telebasel,Der Restaurant-Tester Daniel Bumann testet keine Restaurants mehr: Nach 101 Folgen beendet der ehemalige Spitzenkoch sein Engagement für den TV-Sender 3+.
bluewin.ch,Die Hoffnungsträger des britischen Königshauses - bluewin.ch,Skandalfrei und bodenständig stehen Prinz William und seine Frau Herzogin Kate wie wenige Royals für den Wandel hin zur modernen Monarchie. Schenkt die Queen Herzogin Catherine zum 10. Hochzeitstag einen neuen Titel?
tagesanzeiger.ch,600 Millionen Dosen Impfstoff ab 2022 – Lonza baut in Visp massiv aus – jetzt sollen sogar Käser helfen - Tages-Anzeiger,"Der Impfstoff-Hersteller verdoppelt die Produktion im Wallis auf 600 Millionen Dosen. Weil im Moment das Personal fehlt, springt nun der Staat ein."
www.srf.ch,Leichenfund in Deutschland - Vier Tote in Klinik entdeckt – Mitarbeiterin tatverdächtig - Schweizer Radio und Fernsehen (SRF),In einer Potsdamer Klinik sind vier Menschen getötet und eine Person schwer verletzt worden. Es kam zu einer Festnahme.
