source,title,description,category,publishedAt
20 Minuten,Strafbefehl gegen Tobias Steiger,Die Kundgebung der rechtsextremen Partei national orientierter Schweizer (Pnos) vom November 2018 in Basel bleibt vor allem wegen der massiven Gegendemonstration in Erinnerung. Nun gibt es eine erste Sanktion gegen den damaligen Basler Pnos-Chef.,technology,2021-05-06T17:43:10Z
20 Minuten,«Bachelor»-Francesca nach Nacktfoto-Leak : «Ich habe keine Angst vor Slut-Shaming»,Zwei Männer haben exklusive Nacktfotos des Onlyfans-Accounts von «Bachelor»-Gewinnerin Francesca geleakt. Sie hat nun Anzeige erstattet.,technology,2021-05-06T17:07:47Z
Schweizer Radio und Fernsehen (SRF),Patentfreigabe für Impfstoffe - USA stürzen Europa ins Patentschutz-Dilemma,Eine vage Ankündigung aus Washington verleiht der weltweiten Debatte über den Patentschutz völlig neuen Schwung.,technology,2021-05-06T15:57:00Z
20 Minuten,Gefahr aus dem All,"Im Westen warnen Experten vor Trümmern, die zwischen Dienstag und Freitag zur Erde stürzen dürften. China nehme diese Gefahr bewusst in Kauf, so ein Astrophysiker.",technology,2021-05-06T15:45:21Z
20 Minuten,Er wurde 47 Jahre alt,Der Moderator von «Guten Morgen Deutschland» ist am Dienstag nach schwerer Krankheit gestorben.,technology,2021-05-06T15:23:22Z
aeroTELEGRAPH,Swiss-Abbau trifft auch Helvetic Airways,Swiss muss mehr sparen und verkleinert die Flotte deutlich. Das heißt auch für die Wet-Lease-Partnerin Helvetic Airways weniger Aufträge.,technology,2021-05-06T15:22:00Z
Schweizer Radio und Fernsehen (SRF),Prozess im Kanton Solothurn - Vater wegen vorsätzlicher Tötung seines Babys freigesprochen,"Es ist ein Fall, der sich – trotz verdeckten Ermittlungen – vor allem auf Indizien stützt. Nun ist ein Urteil gefällt.",technology,2021-05-06T14:24:00Z
docma,Leica Vario-Elmarit-SL 1:2.8/24-70 ASPH - Vollformat-Zoomobjektiv für L-Mount,"Photoshop Tutorials - Profi Tipps für Bildbearbeitung mit Photoshop: Fotocollage erstellen, Bilder freistellen, retuschieren, u.v.m. - DOCMA Magazin für digitale Bildbearbeitung",technology,2021-05-06T14:12:58Z
20 Minuten,«Football Inside» : Schweizer Fussball-Doku – Kriens-Trainer auf den Spuren von Pep Guardiola,Dokus wie «All or nothing: Man City» oder «Sunderland till I die» besorgten Amazon und Netflix echte Kassenschlager. Nun kommt mit «Football Inside» ein Film über das Kabinenleben bei Schweizer Fussballclubs in die Kinos.,technology,2021-05-06T14:00:00Z
20 Minuten,Kein Drama? Von wegen!,"Der Coup von Schweiz Tourismus mit Roger Federer und Robert de Niro ist gelungen. Dabei weiss De Niro, dass die Schweiz sich bestens für Dramen eignet.",technology,2021-05-06T14:00:00Z
"CryptoTicker.io - Bitcoin Kurs, Ethereum Kurs & Crypto News",Cardano Kurs Prognose - Könnte der Kurs schon bald die $2 erreichen?,Der Cardano Kurs konnte nach Wochen die Seitwärtsphase verlassen. Wo liegen nun die Ziele vom Kurs? Das erfährt ihr hier.,technology,2021-05-06T13:26:00Z
BTC-ECHO,Südkorea: Polizei friert wegen Scam-Verdacht Gelder von Krypto-Börse ein,"Eine Krypto-Börse in Südkorea soll durch ein Schneeballsystem Anleger um 1,5 Milliarden US-Dollar geprellt haben. Die Polizei hat die Konten eingefroren.",technology,2021-05-06T11:04:00Z
GoogleWatchBlog,Google Fotos: Kostenloser unbegrenzter Speicherplatz soll für Pixel erhalten bleiben,"Der kostenlose unbegrenzte Speicherplatz bei Google Fotos soll für Pixel-Smartphones erhalten bleiben. Allerdings mit Einschränkungen, die für mehr Probleme als Vorteile sorgen könnten.",technology,2021-05-06T04:47:53Z
20 Minuten,Diesmal nicht explodiert : SpaceX-Prototyp nach vier Fehlversuchen erfolgreich gelandet,Die Starship-Rakete des US-Unternehmens SpaceX von Elon Musk setzte in einer Wüste in Texas sanft auf. Aufkommenden Flammen wurden rasch gelöscht.,technology,2021-05-06T01:50:30Z
20 Minuten,Asus Rog Phone 5,Handys werden grösser und leistungsfähiger. Wir haben das neuste Modell von Asus getestet und meinen: Das Rog Phone 5 lässt sogar Gaming-Computer alt aussehen.,technology,2021-05-05T19:58:41Z
"CryptoTicker.io - Bitcoin Kurs, Ethereum Kurs & Crypto News",Litecoin Kurs Prognose - Wie wahrscheinlich sind die $500?,Der Litecoin Kurs ist kurz vor dem ersten Ziel. Doch wird der Kurs danach korrigieren oder direkt Richtung $500 steigen?,technology,2021-05-05T18:14:00Z
BTC-ECHO,Bitcoin-Kurs: Der langsame Weg in Richtung 100.000 US-Dollar,Bitcoin konnte die gestrige Korrektur vorerst abwenden und zurück an die 56.000 USD ansteigen. Die BTC-Dominanz fällt derweil weiter zurück,technology,2021-05-05T16:24:00Z
BLICK,Wie die Spass-Kryptowährung Dogecoin Bitcoin den Rang abläuft,Die Kryptowährung Dogecoin wurde 2013 zum Spass gegründet und ist völlig nutzlos. Trotzdem steigt der Kurs der Witz-Währung derzeit kräftig an. Plus 13'000 Prozent in nur vier Monaten. Damit ist Dogecoin mehr wert als UBS oder Lonza.,technology,2021-05-05T14:06:45Z
20 Minuten,"Schweizer Start-up ""Rready"" will mit digitalen Briefkästen die Innovationskultur fördern",Start-up Rready bietet eine Art digitalen Ideen-Briefkasten für Unternehmen an: Angestellte können eigene Ideen entwickeln und vorantreiben. Davon profitieren bereits einige grosse Schweizer Firmen.,technology,2021-05-05T13:28:15Z
BTC-ECHO | Bitcoin & Blockchain Pioneers,New York bringt Mining-Verbot auf den Weg,"Im Bundesstaat New York wird ein Gesetz vorbereitet, das Krypto-Mining zunächst für drei Jahre verbieten soll. Der Senat muss dem Entwurf noch zustimmen.",technology,2021-05-05T11:04:00Z
