source,title,description,category,publishedAt
20 Minuten,Seilbahn-Tragödie in Stresa IT,"In Stresa IT hat ein Seilbahnunglück 14 Todesopfer gefordert. Ob eine Seilbahn sicher ist, können Passagiere meist nicht erkennen, sagt der Seilbahningenieur Reto Canale.",technology,2021-05-24T19:44:52Z
BLICK,Nikki und Dan Phillippi bekommen Shitstorm wegen Adoptions-Video ab,"Nikki und Dan Phillippi werden erneut im Netz angefeindet. Die Youtuber mussten anfangs Mai einen Shitstorm über sich ergehen lassen, weil sie ihren Hund einschläferten. Nun folgt der nächste wegen eines alten Videos.",technology,2021-05-24T19:01:02Z
BLICK,Riesige Cupsieger-Party in Luzern: FCL-Fans ausser Rand und Band,In der Innerschweiz gibts kein Halten mehr: Die FCL-Fans lassen es nach dem Cupsieg krachen.,technology,2021-05-24T18:32:09Z
20 Minuten,Kritik an Erziehungsfähigkeit : Queen ist «zutiefst bestürzt» über Prinz Harrys Angriffe auf das Königshaus,In der Doku-Serie «The Me You Can’t See» sowie in einem Podcast-Interview holte Prinz Harry erneut zum Schlag gegen seine eigene Familie aus. Seine Grossmutter ist «not amused».,technology,2021-05-24T18:24:16Z
BLICK,Nach Pleiten gegen Dänemark und Belarus - was ist mit Schweden los?,"«Peinlich und schädlich fürs schwedische Hockey», lautet eine der Schelten in der Heimat des Weltmeisters von 2018. Der Knüller gegen die Schweiz ist nun bereits ein Schlüsselspiel. Die Schweden sind angeschlagen.",technology,2021-05-24T18:06:12Z
20 Minuten,Kulturelle Aneignung : Justin Bieber rasiert nach Dreadlocks-Kritik seinen Kopf,"Über Wochen hinweg wurde Bieber im Netz dazu aufgerufen, seine Dreadlocks loszuwerden. Nun hat er sich kurzerhand den Kopf kahl rasiert.",technology,2021-05-24T16:59:14Z
Schweizer Radio und Fernsehen (SRF),Tunnelsperrung nach Auto-Brand - Gotthard-Tunnel wieder offen - immer noch mehrere Kilometer Stau,Die Sperrung des Tunnels wegen eines rauchenden Fahrzeugs ist aufgehoben. Autos stauen sich nach wie vor auf der A2.,technology,2021-05-24T14:43:00Z
BLICK,Blick erklärt den Krypto-Crash - 1 Billion Dollar in 1 Woche weg,Crash im Krypto-Markt! Bitcoin und Co. haben eine rabenschwarze Woche hinter sich. Aussagen aus China und Amerika machten den Handel mit Digitalwährungen noch verrückter und volatiler. Blick erklärt die Hintergründe.,technology,2021-05-24T14:34:54Z
play3.de,Star Wars Jedi Fallen Order: Möglicher Termin für die PS5-Version aufgetaucht,"Ende des vergangenen Monats bestätigte Electronic Arts die Gerüchte um einen Next-Gen-Release und kündigte ""Star Wars: Jedi Fallen Order""",technology,2021-05-24T14:33:00Z
Schweizer Radio und Fernsehen (SRF),Verkürzte Königsetappe am Giro - Bernal triumphiert solo und greift nach dem Gesamtsieg,Egan Bernal siegt auf der verkürzten Königsetappe des Giro überlegen und sorgt wohl für die Vorentscheidung.,technology,2021-05-24T14:24:00Z
