source,title,description
20 minuten,«Game of Thrones»-Star : Natalie Dormer ist Mama geworden – und niemand hats gemerkt,Bereits im Januar hat Natalie Dormer ihr erstes Kind zur Welt gebracht. Aber erst jetzt teilt die Schauspielerin die News mit der Welt.
blick,Diese europäischen Länder wagen Schritte aus dem Lockdown,Im Kampf gegen die Corona-Pandemie haben die Staaten in Europa unterschiedliche Herangehensweisen. Trotz teilweise hoher Inzidenzen läuten viele europäische Länder bereits den Sommer ein.
20 minuten,Ugur Sahin : Biontech-Chef will schon ab Juni Kinder gegen das Coronavirus impfen,"Weil sie bisher nicht geimpft werden können, drohen Kinder bei der Schweizer Öffnungsstrategie zu den Leidtragenden zu werden. Doch nun gibt es Hoffnung von Biontech."
gmx.ch,Das steckt Neues in iOS 14.5,Apple hat die nächste iOS-Version freigegeben. Höhepunkt ist ein neuer Schutz vor Tracking.
20 minuten,Mägenwil AG : BMW-Fahrerin stirbt nach Kollision mit Reh auf A1,Eine 65-jährige Frau ist nach einem Unfall auf der A1 verstorben. Sie war bei Mägenwil AG mit einem Reh zusammengeprallt.
telebasel,Vier Jahre Gefängnis für ehemaligen Kita-Leiter,Ein ehemaliger Kita-Betriebsleiter in Allschwil muss für 4 Jahre ins Gefängnis. Der 36-Jährige habe sich mehrfachen sexuell an Kindern vergriffen.
schweizer radio und fernsehen (srf),100 Tage Biden-Regierung - Joe Biden will die USA fundamental umbauen,Joe Biden will sein Land sozialstaatlicher gestalten. Die für die USA progressiven Visionen stehen aber erst auf Papier.
20 minuten,Betrug und Veruntreuung : Strafanzeige gegen David Degen? Schwere Vorwürfe von Ex-Geschäftspartnern,"Zwei seiner ehemaligen Geschäftspartner erheben schwere Vorwürfe gegen David Degen, wie die «Weltwoche» berichtet. Es geht um 35’000 Franken."
20 minuten,Medienkonferenz Bundesrat : Bundesrätin Viola Amherd warnt vor instabiler Sicherheitslage in Europa,Am Donnerstagmorgen ist der Bericht des Bundesrates zur Sicherheitslage in Europa erschienen. Viola Amherd an einer Medienkonferenz.
blick,Super League: Strafanzeige gegen FCB-Mitbesitzer David Degen,Die «Weltwoche» berichtet mitten im Übernahme-Kampf um den FC Basel von neuen Vorwürfen gegen David Degen. Ex-Geschäftspartner haben Strafanzeige eingereicht.
 cash,"Kryptowährungen - Steht Bitcoin jetzt vor einem ""Make-or-Break-Moment""?",Die aktuelle Kursschwäche von Bitcoin verunsichert Anlegerinnen und Anleger. Ein Ausbruch auf neue Rekordstände ist laut technischen Indikatoren eher unwahrscheinlich. Doch es gibt auch positive Signale.
 cash,Tech-Unternehmen - Logitech steigert Umsatz und Betriebsgewinn deutlich - Wachstum höher als erwartet,Beim auf Computerzubehör spezialisierte Logitech-Gruppe kletterten die Umsätze in dem im März zu Ende gegangenen Geschäftsjahr auf Rekordwerte.
blick,China startet erstes Modul neuer Raumstation,China hat mit dem Bau seiner eigenen Weltraumstation begonnen. Am Donnerstag startete eine Rakete mit dem Kernmodul der Station. Diese Station soll 2022 in Betrieb gehen.
business insider deutschland,Plugvan und Vanderer machen aus Kastenwagen Wohnmobile,"Anstatt ein großes Wohmobil anzuschaffen, stellen Hybrid-Lösungen einen kompakten Kompromiss dar. Zwei Startups rüsten zum Camping auf."
chinahandys.net,Nubia Red Magic Watch vorgestellt,"Nicht unter ""Nubia"", sondern als Red Magic Watch kommt der neue Fitnesstracker. 99€ kostet die Smartwatch und bietet allerhand Features!"
btc-echo,Bitcoin-Kurs: Rallye führt Bitcoin zurück über die 55.000 USD,Bitcoin-Bullen holen zum Gegenschlag aus und lassen die Kursschwäche in den Hintergrund rücken. Die BTC-Dominanz erreicht 50 Prozent.
20 minuten,Google Chrome Update schliesst gefährliche Sicherheitslücken,Der Internet-Browser Chrome hat ein neues Update erhalten. Dieses schliesst sieben Sicherheitslücken – drei davon werden als «hoch» eingeschätzt.
chip online,Linux für alte Rechner: 5 Windows-Alternativen,"Windows 10 ist Standard und macht auf einigermaßen aktueller Hardware auch Spaß. Doch der kann schnell vorbei sein, wenn man noch auf ältere Rechner setzt. Windows ist dann zu dick und braucht zu viele Ressourcen. Da gibt es schlankere Alternativen, vor allem Linux bietet sich für alte Rechner an. Wir zeigen fünf schlanke Betriebssysteme."
btc-echo,"""Eine neue Ära ist angebrochen"" - IOTA Upgrade Chrysalis ist da",Nach monatelanger Wartezeit ist der Tag nun endlich gekommen. Heute schließt IOTA die Umstellung auf das Chrysalis Update ab.
20 minuten,"Riga, Lettland : Acht Menschen sterben bei Brand in illegalem Hostel","Am Mittwochmorgen brach in einem Hostel in Riga ein Feuer aus. Acht Personen starben, sechs weitere Menschen mussten ins Spital gebracht werden."
