source,title,description,category,publishedAt
Neue Schweizer Zeitung,Zoom hat Zugriff auf die Kamera-API des iPad,"Der App-Entwickler Jeremy Provost hat festgestellt, dass Apple Zoom Zugriff auf die Kamera-API des iPad gewährt hat. Mit Ausnahme der FaceTime-App von",technology,2021-05-08T19:42:23Z
Schweizer Radio und Fernsehen (SRF),2:0-Erfolg in Lugano - Vaduz mit Ansage im Kampf gegen den Abstieg,Die Liechtensteiner reisen mit 3 Punkten im Gepäck aus Lugano ab. Sie könnten wegweisend sein für den Klassenerhalt.,technology,2021-05-08T18:19:00Z
Schweizer Radio und Fernsehen (SRF),"Diskussionen innerhalb der SP - Rahmenabkommen: Ex-Regierungsrat redet von ""Wahrnehmungsstörung""",Das Rahmenabkommen sorgt in der SP für Diskussionen. Immer mehr Stimmen betonen die Vorteile des Abkommens.,technology,2021-05-08T17:09:00Z
BLICK,Drama um Schlagerstar: Jetzt sprich Stefan Mross Mutter über die Killer-Tat,Die Cousine (†50) und die Tante (†76) von Volksmusiker Stefan Mross wurden ermordet. Jetzt spricht seine Mutter über die schreckliche Tat.,technology,2021-05-08T16:56:40Z
Schweizer Radio und Fernsehen (SRF),Gegen Corona-Massnahmen - Rund 1500 Personen an unbewilligter Demo in Aarau,Die Polizei war mit einem Grossaufgebot vor Ort. Die Demonstrierenden zogen in Gruppen mehrfach durch die Stadt.,technology,2021-05-08T16:41:00Z
BLICK,Fast zwei Drittel sind für den Rahmenvertrag mit der EU,Unangenehmer Befund für den Bundesrat: 64 Prozent der Stimmberechtigten unterstützen das institutionelle Abkommen mit der EU.,technology,2021-05-08T16:38:13Z
Schweizer Radio und Fernsehen (SRF),Coronavirus in der Schweiz - Bilanz nach 4 Wochen: Was haben die Gratis-Selbsttests gebracht?,"Seit einem Monat sind Selbsttests in der Schweiz erhältlich. Abgeholt worden sind sie, aber ihr Nutzen bleibt ungewiss.",technology,2021-05-08T14:52:00Z
BLICK,Super League: Giorgio Contini muss Ende Saison bei Lausanne gehen!,"Er führte Lausanne zurück in die Super League, nun läuft die Zeit von Giorgio Contini (47) im Waadtland ab.",technology,2021-05-08T14:46:13Z
Telebasel,Merkel glaubt an Sommerurlaub innerhalb von Europa,"Kanzlerin Angela Merkel (CDU) hat sich optimistisch gezeigt, dass Sommerurlaub in Europa auch für Ungeimpfte möglich sein wird.",technology,2021-05-08T14:27:49Z
Schweizer Radio und Fernsehen (SRF),Qualifying in Barcelona - Hamilton holt sich 100. Pole Position seiner Karriere,Lewis Hamilton ist der schnellste Fahrer im Qualifying zum GP von Spanien. Es ist die 100. Pole Position für den Briten.,technology,2021-05-08T14:16:00Z
BTC-ECHO,Bitcoin und Co.: Ein Ausweg aus dem billigen Geld,"In seinem Gastbeitrag widmet sich Felix Novotny der Frage, inwiefern Bitcoin und Co. einen Ausweg aus den Problemen von Fiatwährungen bieten.",technology,2021-05-08T14:00:00Z
Coincierge,Cardano-Gründer warnt Dogecoin-Investoren,"Cardano-Gründer Charles Hoskinson warnt vor einem Panik-Verkauf bei Dogecoin, bei dem Investoren mit hohen Verlusten zurückbleiben.",technology,2021-05-08T09:19:52Z
Giga,Katastrophaler Absturz: Niemand will mehr Huawei-Handys,"Dass Huaweis Smartphone-Geschäft Probleme hat, ist hinlänglich bekannt. Wie katastrophal der Absturz vor allem in Europa ist, zeigt jetzt..",technology,2021-05-08T08:30:31Z
BTC-ECHO,Blick in die Zukunft: Das erwartet nach uns dem nächsten Bitcoin Halving,Nach dem Halving ist vor dem Halving. Diese Effekte erwartet BTC nach der nächsten Halbierung des Block Subsidy.,technology,2021-05-08T06:00:00Z
BLICK,Amazon: Jeff Bezos baut sich Mega-Yacht,"Das fehlt ihm noch ein seiner Sammlung: ein Luxus-Schiff. Amazon-Chef Jeff Bezos (57) will das nun ändern. Er baut sich eine Luxusyacht. Noch ist das Projekt geheim, Bilder gibt es noch keine. Dafür aber schon ein paar Details.",technology,2021-05-07T17:27:29Z
finews.ch,"Mihkel Vitsur: ""Banken sind kein Synonym für Innovation""","Da das Bankwesen von Natur aus wenig innovativ ist, wird die Modernisierung zunehmend an Fintechs delegiert, die letztlich die Bankdienstleistungen für neuen Bereiche entwickeln. Doch das genügt nicht, schreibt Mihkel Vitsur in seinem Beitrag für finews.first.",technology,2021-05-07T13:29:00Z
BTC-ECHO,Ethereum Classic (ETC) - was steckt hinter der Kursexplosion?,Ethereum Classic (ETC) ist in den letzten sieben Tagen um knapp 300 Prozent gestiegen. Was steckt hinter dem rasanten Kursanstieg?,technology,2021-05-07T11:33:00Z
ChinaHandys.net,Blackview BV4900 Pro - Outdoor Smartphone für 100€,Das Blackview BV4900 Pro kostet kaum mehr als 100€ und ist dennoch ein vollwertiges Outdoor-Smartphone. Alle Infos ✅ ➜ hier!,technology,2021-05-07T10:37:34Z
Coincierge,Krypto-Analysten bullish: Diese Altcoins heben in den nächsten Wochen ab,"Geht es nach zwei beliebten Krypto-Analysten, könnten verschiedene Altcoins in den nächsten Wochen immense Gewinne sehen.",technology,2021-05-07T10:20:42Z
20 Minuten,Neue Technologien : Google will Passwörter für immer abschaffen,Passwörter sind die grösste Bedrohung für die Online-Sicherheit. Daher sollen sie laut Google bald schon der Vergangenheit angehören.,technology,2021-05-07T09:43:26Z
