source,title,description
blick,SCB-Sportchefin Florence Schelling und Alex Chatelain müssen gehen,Hockey-Knall! Nach nur einem Jahr im Amt ist SCB-Sportchefin Florence Schelling ihren Job wieder los. Auch Alex Chatelain muss gehen. Johan Lundskog wird neuer Trainer.
schweizer radio und fernsehen (srf),Das Neueste zur Coronakrise - Openair Gampel plant Festival mit täglich 10'000 Besuchern,Man prüfe derzeit intensiv eine alternative Festivalvariante mit 10'000 Besuchern pro Tag anfangs September.
20 minuten,Asteroiden-Einschlag wird als Simulation geprobt,"Was machen, wenn ein Asteroid ungebremst auf die Erde zurast? Genau mit dieser Frage beschäftigen sich Fachpersonen aus aller Welt – eine ganze Woche lang."
telebasel,Bundesrat will Grossveranstalter mit 150 Millionen Franken unterstützen,Der Bundesrat hat neue Corona-Beschlüsse gefasst. Guy Parmelin und Alain Berset informieren am Mittwochnachmittag über die Entscheide.
20 minuten,Gossau SG : Polizei verfolgt Teenager mit frisiertem Töffli der fliehen will,"In Gossau SG jagte die Polizei einem 14-Jährigen hinterher. Dies, weil er sich einer Kontrolle entzog. Der Teenager konnte in einer benachbarten Gemeinde aufgespürt werden."
schweizer radio und fernsehen (srf),"Duell in der Champions League - Wiedererstarktes PSG gegen ""defensiv schwaches"" ManCity",Paris St-Germain empfängt im Halbfinal-Hinspiel der «Königsklasse» ManCity – oder: Offensivpower gegen Ballbesitz.
blick,Neuer CS-Präsident: Diese 5 Baustellen muss António Horta-Osório anpacken,"Am Freitag, dem 30. April, küren die Aktionärinnen und Aktionäre der Credit Suisse einen neuen Präsidenten. António Horta-Osório übernimmt von Urs Rohner. Auf den Portugiesen wartet ein Haufen Arbeit."
20 minuten,Curevac : Novartis will noch dieses Jahr 50 Millionen Impfdosen herstellen,"Der Pharmariese Novartis produziert für den Impfstoffhersteller Curevac. Im Gegensatz zu Lonza hat Novartis keine Probleme, qualifiziertes Personal zu finden."
20 minuten,"""Eine Gefahr für die Gesellschaft""",Der kanadische Bob-Fahrer Alexander Kopacz erkrankte an Corona und musste im Spital beatmet werden. Nun hat er eine klare Botschaft an Maskenverweigerer.
frankfurter neue presse,Vitamin-B12-Mangel: So erkennen Sie die Symptome,"Vitamin-B-12-Mangel – viele haben ihn und wissen nichts davon. In welchen Lebensmitteln Vitamin B12 enthalten ist, wie sich ein Mangel äußert und auf welche Symptome Sie acht geben sollten."
btc-echo,"""Eine neue Ära ist angebrochen"" - IOTA Upgrade Chrysalis ist da",Nach monatelanger Wartezeit ist der Tag nun endlich gekommen. Heute schließt IOTA die Umstellung auf das Chrysalis Update ab.
20 minuten,"Riga, Lettland : Acht Menschen sterben bei Brand in illegalem Hostel","Am Mittwochmorgen brach in einem Hostel in Riga ein Feuer aus. Acht Personen starben, sechs weitere Menschen mussten ins Spital gebracht werden."
chip online deutschland,Google Chrome-Nutzer müssen aufpassen: Deswegen sollten Sie ihren Browser jetzt updaten,"Google hat für Chrome ein aktuelles Update ausgerollt. Dieses schließt eine Reihe von Sicherheitslücken, von denen drei als besonders gefährlich eingestuft werden. Nutzer sollten ihren Google-Browser daher schnellstmöglich updaten, um auf Nummer sicher zu gehen."
ecomento.de,Praxisvergleich der Schnellladefähigkeit von Elektroautos,Die P3 Group hat einen Vergleich der Schnellladefähigkeit verschiedener Elektroautos mit Fokus auf die Praxis erstellt.
business insider deutschland,Keine Food-Startups mehr: Frank Thelen über seinen Plan nach DHDL,"Frank Thelen wurde als DHDL-Juror bekannt. Ein Jahr nach seinem Ausstieg zieht er Bilanz. Und erklärt, wie er sich neu erfinden will."
 cash,Tech-Konzern - Google-Umsatz wächst um ein Drittel - Alphabet-Aktie steigt um 4 Prozent,"Das Werbegeschäft bei Google läuft in der Corona-Pandemie auf Hochtouren. Der Umsatz der Konzernmutter Alphabet stieg im vergangenen Quartal im Jahresvergleich um 34 Prozent auf 55,3 Milliarden Dollar."
schweizer radio und fernsehen (srf),"Raumfahrt - Was kann Elon Musks SpaceX besser als die Nasa, Thomas Zurbuchen?","Für die Nasa sei die Zusammenarbeit mit Privaten sehr wichtig, sagt deren Wissenschaftsdirektor Thomas Zurbuchen."
blick,Apple lässt Nutzer über Werbe-Tracking entscheiden,Darf eine App meine Aktivitäten im Netz beobachten oder nicht? Über diese Frage können Apple-Nutzer von nun an selber entscheiden. Social-Media-Gigant Facebook läuft Sturm deswegen.
20 minuten,Drogengeld : Deutsche Justiz verliert Bitcoin im Wert von über 22 Millionen Franken,Die deutsche Justiz beschlagnahmte 2017 Bitcoin im Wert von rund 11 Millionen Franken. Diese sind jetzt über 20 Millionen wert – und spurlos im Internet verschwunden.
techstage,Marktübersicht: Die kleinsten Handys ab 20 Euro,Die kleinsten Handys sind kaum größer als ein Daumen und bieten dennoch Display und Tastatur. Dabei kosten sie teilweise unter 20 Euro. Eine Übersicht.
