source,title,description,category,publishedAt
20 Minuten,Nicki Minaj : «Ich esse etwa 20 Becher Eiswürfel pro Tag»,In einem Brief an ihre Fans spricht Rapperin Nicki Minaj erstmals ausführlich über ihren kleinen Sohn und den Unfalltod ihres Vaters. Und gibt nebenbei eine kuriose Essgewohnheit preis.,technology,2021-05-16T20:16:41Z
BLICK,Erfolgsmodell Repression: Berner erstickten Corona-Demo im Keim,"Sie halten nichts von Abstand, haben keine Bewilligung und ziehen trotzdem Woche für Woche durchs Land. Die Polizei lässt die Corona-Skeptiker meistens gewähren – nicht so in Bern.",technology,2021-05-16T18:48:27Z
Telebasel,Glühwürmchen leuchten 19 Mal effizienter als Glühbirnen,"Glühwürmchen schaffen eine Leuchtkraft, wie es kein künstliches Licht kann. Mehr dazu und weitere Fakten rund ums Thema Licht gibt es hier in der Übersicht.",technology,2021-05-16T18:19:08Z
Schweizer Radio und Fernsehen (SRF),"Swiatek gewinnt 6:0, 6:0 - 10. Titel in Rom: Nadal ringt Djokovic nieder","Rafael Nadal bezwingt Novak Djokovic in einem hochstehenden Final beim ATP-1000-Turnier von Rom 7:5, 1:6, 6:3.",technology,2021-05-16T18:07:00Z
BLICK,Wegen eines Wartungsvertrages: Stadler Rail befürchtet Werkspionage,"Spionagethriller bei den Bähnlern: Stadler Rail verdächtigt eine russische Konkurrenzfirma, einen Wartungsauftrag für Werksspionage zu missbrauchen.",technology,2021-05-16T17:37:30Z
BLICK,Susanne Kunz dachte mit zehn Jahren erstmals an eine Diät,"Die ehemalige SRF-Moderatorin Susanne Kunz verrät in Claudia Lässers Talk-Format, warum sie im Alter von zehn Jahren erstmals daran dachte abzunehmen – und welche zwei grossen Wünsche sie noch für die Zukunft hat.",technology,2021-05-16T17:07:22Z
BLICK,Wieder steigende Corona-Infektionszahlen in Moskau,In Russlands Hauptstadt steigen die Corona-Zahlen wieder an. Es sind rund 17 Prozent mehr Infektionen als noch in der Vorwoche.,technology,2021-05-16T15:51:31Z
BLICK,Mountainbike: Schurter stürzt - Flückiger schaffts erneut aufs Podest,Im tschechischen Nove Mesto stürmt Mathias Flückiger als Dritter aufs Cross-Country-Podest. Bei den Frauen ist Linda Indergand als Sechste die beste Schweizerin.,technology,2021-05-16T15:06:28Z
Schweizer Radio und Fernsehen (SRF),MTB-Weltcup in Nove Mesto - Flückiger auf dem Podest - Indergand Sechste,Beim Cross-Country-Weltcup in Nove Mesto wird Mathias Flückiger Dritter. 3 Schweizerinnen klassieren sich in den Top 10.,technology,2021-05-16T15:02:00Z
20 Minuten,Für die zweite Juni-Hälfte,Ab sofort stehen im Kanton Zürich 120’000 weitere Impftermine zur Verfügung. Diese können von Personen ab 16 Jahren gebucht werden.,technology,2021-05-16T14:46:33Z
