source,title,description,category,publishedAt
luxemburger wort,Luxemburger Wort,Der zentralafrikanische Kongo ist offiziell frei von der lebensgefährlichen Ebola-Krankheit.,technology,2021-05-03T20:26:13Z
schweizer radio und fernsehen (srf),Curling-WM in Calgary - Achterhaus und 5. Sieg in Serie: Schweiz bleibt an WM makellos,Das Schweizer Curling-Team schreibt gegen Dänemark ein Achterhaus und holt gegen Japan den 5. Sieg im 5. Spiel.,technology,2021-05-03T18:17:00Z
schweizer radio und fernsehen (srf),News aus dem Eishockey - Davos holt Stransky und Zgraggen - Leuenberger neuer Olten-Coach,Hier finden Sie die wichtigsten Kurzmeldungen des Tages aus dem Eishockey-Geschehen.,technology,2021-05-03T14:26:00Z
blick,Eishockey: Lars Leuenberger wird Trainer beim EHC Olten,"Nur wenige Tage nachdem bekannt geworden ist, dass Lars Leuenberger den EHC Biel verlassen muss, hat der 46-Jährige bereits einen neuen Job. Er wird Trainer beim EHC Olten.",technology,2021-05-03T14:25:08Z
20 minuten,Handy-Unfall in Gossau SG,"Letzte Woche starb in Gossau SG eine junge Frau in der Badewanne, weil ihr das Handy ins Wasser gefallen war. Ein Defekt am Ladekabel war Ursache für die Tragödie.",technology,2021-05-03T12:42:28Z
blick,Royal-Experte: William und Charles werden Harry nie mehr willkommen heissen,Prinz Harry soll bei seinem letzten England-Besuch vom «frostigen Empfang» seitens seiner Familie geschockt gewesen sein. Laut eines Royal-Experten müsse sich der Adelige im Exil daran gewöhnen.,technology,2021-05-03T12:28:37Z
blick,Illegale Corona-Party in St. Gallen aufgelöst,Die Stadtpolizei St. Gallen hat eine illegale Party in einem Wald aufgelöst. Die Teilnehmer und der Veranstalter wurden gebüsst.,technology,2021-05-03T12:08:27Z
presseraum.at,Eine der atemberaubendsten Meteorschauer des Frühlings findet diese Woche statt,"Nehmen Sie sich eine Decke und einen Liegestuhl und machen Sie sich bereit, um sich zu entspannen und eines der atemberaubendsten Himmelsereignisse der",technology,2021-05-03T11:26:08Z
blick,Mit mysteriösem Zaubertrank: Der Tourismus-König von Arosa tritt ab,Pascal Jenny hat 13 Jahre lang als Tourismusdirektor die Geschicke von Arosa GR geleitet. Nun übergibt er seinen Job an seinen bisherigen Stellvertreter. Arosa bleibt er aber treu.,technology,2021-05-03T10:37:57Z
fehmarn24,Corona-Impfung reduziert Risiko von Klinikaufenthalt immens - eine Altersgruppe profitiert besonders,"Die Corona-Impfung senkt das Krankenhaus-Risiko für eine Altersgruppe deutlich, so das Ergebnis einer Studie. Doch nur eine Impfstoffgruppe wurde untersucht.",technology,2021-05-03T10:08:00Z
schweizer radio und fernsehen (srf),Widerstand aus der Bevölkerung - Wie ein Berner Rentnerpaar 5G-Antennen blockiert,Zwei Rentner kämpfen vor Bundesgericht gegen die 5G-Technologie. Das Urteil wird für die ganze Schweiz wegweisend sein.,technology,2021-05-03T14:41:00Z
auto motor und sport,VW will eigene Prozessoren wie Tesla und Apple,"VW-Chef Diess ist überzeugt: Das Auto der Zukunft ist ein Elektronikprodukt. Man will deshalb nicht nur Software selbst entwickeln, sondern auch Prozessoren.",technology,2021-05-03T14:31:33Z
chip online deutschland,Android-Nutzer müssen aufpassen: Als Update getarntes Virus ist weiter auf dem Vormarsch,"Android-User müssen derzeit besonders wachsam sein: Eine besonders tückische Malware, die sich als ein gewöhnliches System-Update tarnt, bedroht Geräte von Samsung, Huawei und Co.. Wie Sie die Schad-Software erkennen können und Ihr Android-Smartphone schützen, lesen Sie hier.",technology,2021-05-03T14:05:00Z
techbook,Warum iPhone-Nutzer jetzt ständig Pop-ups angezeigt bekommen,"Wer das Update installiert, wird höchstwahrscheinlich das ein oder andere neue Pop-up-Fenster sehen. Es geht um App-Tracking in iOS 14.5.",technology,2021-05-03T14:00:00Z
chinahandys.net,Realme Watch 2 vorgestellt - Die neue Generation wird smart,Realme hat einen neuen Fitnesstracker vorgestellt mit neuen Features: Mit der Realme Watch 2 steuert man nun das Smart Home!,technology,2021-05-03T13:24:24Z
20 minuten,Sicherheitswarnung : Bei diesem USB-Ladegerät besteht Stromschlaggefahr,In Verwendung zusammen mit einem Ladekabel können die Steckverbindungen unter Spannung stehen.,technology,2021-05-03T10:11:22Z
inside digital,Telekom LTE-Ausbau: Drei neue Sendemasten pro Tag,Der Telekom-Netzausbau geht weiter. 3 komplett neue Standorte pro Tag errichtet die Telekom im LTE-Netz - mit diesen Tricks.,technology,2021-05-03T09:57:00Z
chip online deutschland,Microsoft verabschiedet Windows-10-Version: Nutzer sollten jetzt dringend updaten,"Zweimal im Jahr gibt es eine neue Windows-10-Version, doch diese werden nur rund eineinhalb Jahre lang unterstützt. Schon Mitte Mai 2021 muss sich die Version 1909 verabschieden - für diese gibt es dann keine Sicherheitsupdates mehr. CHIP rät betroffenen Nutzern, möglichst bald auf eine neuere Version umzusteigen. Wie Sie das machen, zeigen wir Ihnen hier.",technology,2021-05-03T08:42:58Z
 cash,Kryptowährungen - Ether steigt erstmals auf über 3000 US-Dollar - Bedeutung von Bitcoin rückläufig,Die Kryptowährung Ether hat am Montag eine Rekordmarke erklommen. Am Vormittag kostete die nach Marktanteil hinter dem Bitcoin zweitgrösste Digitalwährung auf der Handelsplattform Bitfinex bis zu 3109 US-Dollar.,technology,2021-05-03T07:38:00Z
