source,title,description,category,publishedAt
t-online.de,Logik-Rätsel: Lösen Sie diese Matheaufgabe für Fünftklässler?,t-online.de fordert Sie im Video regelmäßig mit kniffligen Rätseln heraus.  Halten Sie sich für ein 'Superhirn'?  Zerbrechen Sie sich den Kopf über unsere Aufgaben.,science,2021-05-17T17:07:00Z
Bild,Wie weit sinken die Zahlen? - Die Corona-Prognose für unseren Sommer,Endlich sinken die Corona-Zahlen! Bundesweit 5412 Neuinfektionen meldete das Robert-Koch-Institut am Montag – der niedrigste Wert seit dem 9. März. Und die Zahlen fallen weiter: Im Vergleich zur Vorwoche verzeichnet Deutschland fast 22 Prozent weniger neue Co…,science,2021-05-17T15:05:51Z
Spiegel Online,»Solar Orbiter«: Sonde liefert erste Filme von Sonneneruptionen,"Die Daten waren wochenlang unterwegs: Die Sonde »Solar Orbiter« hat erstmals Sonnenwinde gefilmt. Meist sorgen solche Eruptionen auf der Erde für Naturspektakel, sie können aber auch Navigationssysteme abstürzen lassen.",science,2021-05-17T14:49:00Z
heise online,Name gesucht: ESA-Sonde soll vorab vor Sonnenstürmen warnen,"Die ESA will mit einer Sonde potenziell gefährliche Sonnenstürme entdecken, bevor sie auf die Erde treffen. Nun sucht sie einen Namen für das Gerät.",science,2021-05-17T14:37:00Z
Spiegel Online,Fund in Peru: Forscher entdecken neue Nasenkröte – am Straßenrand,Während einer Expedition in Peru haben Wissenschaftler eine neue Tierart aufgespürt. Es war wohl die überraschendste Entdeckung ihres Lebens – und die bequemste.,science,2021-05-17T14:05:31Z
Brigitte.de,"Psychologie: 7 scheinbar ""normale"" Dinge, die eigentlich Warnsignale sind - BRIGITTE.de",Alles paletti bei dir und deinen Liebsten? Dann kommen dir diese Verhaltensweisen sicherlich gar nicht bekannt vor ...,science,2021-05-17T13:39:00Z
Focus,Virus wird „endemisch“: Das bedeutet Drosten-Prognose für Zeit nach der Pandemie,"Bevor Sars-CoV-2 die ganze Welt infizierte, hatten Wissenschaftler noch Hoffnung, das Virus ausmerzen zu können. Heute ist klar: Die Pandemie wird zu Ende gehen, aber das neue Coronavirus wird bleiben – und Kinder eine entscheidende Rolle für die Verbreitung …",science,2021-05-17T12:40:00Z
t-online.de,Berlin: Inzidenz unter 100 – Diese Corona-Lockerungen stehen diese Woche an,"Alle Berliner Bezirke liegen inzwischen unter der Sieben-Tage-Inzidenz von 100. Die Impfkampagne schreitet weiter voran, und so stellen sich in der neuen Woche einige Corona-Lockerungen ein. Ein Überblick.",science,2021-05-17T11:48:00Z
Heute.at,Schwachstelle des Coronavirus gefunden - Heute.at,"Forschern ist es jetzt erstmals gelungen, den virenvermehrenden Mechanismus infizierter Zellen zu entschlüsseln. Ein Ansatz für künftige Therapien?",science,2021-05-17T10:14:57Z
Focus,Beeinflusst der Lebenslauf die Persönlichkeit? Das zeigt psychologische Studie,"Berufseinstieg, Karriere, Ruhestand: Der berufliche Lebensweg eines Menschen färbt auf seinen Charakter ab. Alle zentralen Persönlichkeitsmerkmale sind betroffen.",science,2021-05-17T08:43:00Z
t-online.de,Experte aus Köln: Wie aussagekräftig sind Inzidenzwerte wirklich? - t-online,Die Maßnahmen zur Bekämpfung der Corona-Pandemie richten sich zu großen Teilen nach der Inzidenz. In Köln machten zuletzt Stadtteile mit hohen Werten Schlagzeilen – wie aussagekräftig sind die Zahlen wirklich?,science,2021-05-17T08:13:00Z
Telebasel.ch,Starker Rückgang der Verurteilungen im Corona-Jahr,Ein Zehntel weniger Strafurteile gegen Erwachsene im Corona-Jahr 2020. Am stärksten ging die Zahl der Verurteilten bei Ausländern ohne B- oder C-Ausweis zurück.,science,2021-05-17T07:47:57Z
Bild,Lockdown-Lockerungen in Sicht - Corona-Inzidenz in Hessen unter 100!,"Die Sieben-Tage-Inzidenz bei den Corona-Infektionen in Hessen ist laut Robert Koch-Institut am Montag auf 92,6 gesunken!",science,2021-05-17T05:58:10Z
t-online.de,Corona/Köln: Inzidenz steigt wieder über die 100er-Marke - t-online,"Zwei Tage lag der Inzidenzwert in Köln unter der 100, zum Wochenstart vermeldet das RKI aber wieder einen deutlichen Anstieg.",science,2021-05-17T05:34:00Z
Tagesanzeiger.ch,Neue Erkenntnisse – Sonnenlicht wirkt gegen multiple Sklerose,"UV-Strahlung senkt nicht nur das Risiko, an der Nervenkrankheit multiple Sklerose zu erkranken – sie scheint auch deren Verlauf positiv zu beeinflussen.",science,2021-05-17T05:00:00Z
Tagesanzeiger.ch,Gefährliche Hitze – Wie uns der Klimawandel krank macht,"Das Buch «Überhitzt» beleuchtet die Auswirkungen einer wärmeren Welt auf die Gesundheit, von Hitzestress über die Ausbreitung von Viren bis zu psychischen Belastungen.",science,2021-05-17T04:00:00Z
futurezone.at,Neues Labor schafft Grundlagen für intelligente Software,Das Projekt von Dynatrace und JKU soll Linz zum Innovationszentrum für automatisierte und selbstheilende Software machen.,science,2021-05-17T04:00:00Z
Spiegel Online,Studienfächer erklärt: Was ich als Erstsemester gern über Chemie gewusst hätte,"Wer Chemie studiert, verbringt viel Zeit im Labor, das Lernpensum ist hoch. Aber durchhalten lohnt sich, sagt Chemiestudent Maximilian Kehrer – und erklärt, wie das gelingt.",science,2021-05-17T03:08:17Z
