source,title,description,category,publishedAt
20 Minuten,Durch Sonnenwinde verursacht? - Raumsonde fängt mysteriöses Summen ein,"Wissenschaftler konnten die Herkunft einiger Emissionen, die die Raumsonde Voyager-1 seit 2017 aufzeichnet, bisher nicht eindeutig identifizieren.",science,2021-05-12T20:10:45Z
Heilpraxisnet.de,Corona-Forschung: Ist COVID-19 eine ganz andere Krankheit als bisher angenommen?,"Was für eine Erkrankung ist COVID-19 wirklich? Bei COVID-19 scheint es sich um eine Gefäßerkrankung zu handeln, und nicht etwa um eine Art Atemwegserkrankung, welche durch ein Erkältungsvirus hervorgerufen wird. Die neuen Erkenntnisse helfen, die Vielzahl der…",science,2021-05-12T18:50:41Z
DIE WELT,Pandemie: Warum Corona-Prognosen oft danebenliegen,"Hohe Inzidenzen nach Ostern, ein rasanter Anstieg durch die Variante B.1.1.7 – diese Prognose lag daneben. Epidemiologen wissen, wie schwierig sich der Verlauf der Pandemie vorhersagen lässt. Vor allem ein bestimmter Faktor lässt sich schlecht modellieren.",science,2021-05-12T17:21:13Z
Spiegel Online,Experiment: Implantat lässt Gelähmten schreiben – mit der Kraft seiner Gedanken,Seit einem Unfall ist ein Mann aus den USA vom Hals abwärts gelähmt. Ein Implantat in seinem Gehirn ließ ihn nun trotzdem am Computer schreiben – indem er an die Buchstaben dachte.,science,2021-05-12T16:12:04Z
Focus,Virus im Erbgut? Das sagen Experten zur umstrittenen Studie,"US-Wissenschaftler wollen mittels einer neuen Studie den Nachweis erbringen, dass Sars-CoV-2 kleine Erbgutstücke in menschliche Zellen schleust. Das befeuert Gerüchte, dass auch mRNA-Impfstoffe das Erbgut verändern könnten. Unabhängige Wissenschaftler kritisi…",science,2021-05-12T15:44:00Z
futurezone.at,"CO2-Emissionen lassen Stratosphäre schrumpfen, GPS in Gefahr",Der damatische Effekt von CO2-Emissionen auf die Stratosphäre könnte GPS- und andere Funksysteme torpedieren.,science,2021-05-12T15:34:00Z
Bild,Bei stabiler Inzidenz unter 100 - Gastro in NRW darf ab 15. Mai wieder öffnen,"Öffnungen der Außengastronomie sollen landesweit wieder erlaubt werden, wenn die 7-Tage-Inzidenz an fünf Werktagen unter 100 liegt.",science,2021-05-12T13:30:28Z
Focus,Sonne am Vatertag: Deutschland ist umzingelt von Tiefs - wo es warm wird,"Der Feiertag fällt in zahlreichen Regionen ins Wasser. Es bleibt auch am Donnerstag nass und kühl. Doch es gibt auch ein paar Lichtblicke. Und daher stellt sich jetzt die Frage, wo es eigentlich nicht nass wird.",science,2021-05-12T12:56:00Z
Faz.net,Wo Lockerungen schon in Sicht sind,"Vielerorts sinkt die Inzidenz unter den maßgeblichen Wert von 100. Wo die Bundesnotbremse gelöst wird, gibt es wieder ein föderales Durcheinander. Ein Überblick.",science,2021-05-12T12:48:00Z
Spiegel Online,»CovPass«: Digitaler Impfnachweis soll vielen per Post zugestellt werden,"Doppelt Geimpfte sollen ihren Impfstatus künftig per »CovPass«-App belegen können. Wer bei deren Einführung bereits zwei Impfungen hatte, soll den Nachweis per Post bekommen. Datenschützer üben Kritik.",science,2021-05-12T11:55:09Z
