source,title,description,category,publishedAt
t-online.de,Logik-Rätsel: Mit einem Zug entsteht ein Quadrat – können Sie es lösen?,t-online.de fordert Sie im Video regelmäßig mit kniffligen Rätseln heraus.  Halten Sie sich für ein 'Superhirn'?  Zerbrechen Sie sich den Kopf über unsere Aufgaben.,science,2021-05-29T16:26:00Z
Tagesanzeiger.ch,Klimawandel in der Arktis – Gift im Gletscherwasser,"Grosse Mengen an Quecksilber fliessen im Schmelzwasser südgrönländischer Gletscher in den Arktischen Ozean. Wissenschaftler sind besorgt, weil sich das Metall in der Nahrungskette anreichert.",science,2021-05-29T15:00:00Z
Faz.net,Bundesregierung zögert bei Corona-Analyse im Abwasser,"Eine bundesweite Abwasseranalyse könnte beim Überblick über die Virusvarianten helfen. Die EU empfiehlt sie, Forscher und die Opposition sind dafür – nur die Bundesregierung bleibt zurückhaltend.",science,2021-05-29T14:55:00Z
Bild,Bundesweite Inzidenz-Ausreißer: Bayern ist Corona-Streber und Corona-Verlierer,"Was ein Streber! Die Stadt Weiden ist mit einer Corona-Inzidenz von 2,3 in Deutschland vorerst Niedrig-Spitzenreiter.",science,2021-05-29T14:18:23Z
Nzzas.nzz.ch,Handystrahlen erhöhen das Krebsrisiko nicht - NZZ am Sonntag,"Empfehlungen der Redaktion, Schwerpunkte und Entdeckungen aus der NZZ am Sonntag.",science,2021-05-29T12:37:00Z
DIE WELT,"Oktopusse, Kraken: Acht Arme und sehr viel Hirn",Oktopusse sind clever und überraschen mit komplexen Verhaltensweisen. Ihr merkwürdiges Gehirn hilft ihnen beim Lernen – und beschert sogar Träume. Forscher haben bei Experimenten mit der Charakterstärke der Tiere ihre liebe Not.,science,2021-05-29T09:22:55Z
Faz.net,Statt Palmen nur steinerne Gärten,"Lange bevor die moderne Intensivlandwirtschaft mit Agrochemikalien um sich warf ruinierten Menschen die Böden, von denen sie lebten. Eine Spurensuche.",science,2021-05-29T09:01:23Z
derStandard.at,Schau zu urbaner Zukunft: Navigieren durch den Datenfluss,"Die Ausstellung ""Die Stadt als Datenfeld"" im Graz-Museum zelebriert den aufrechten Gang in eine digitalisierte Welt",science,2021-05-29T05:00:00Z
t-online.de,Corona-Zahlen: Gesundheitsämter melden 5.400 Corona-Neuinfektionen,"Die Hoffnung auf ein normales Leben wird weiter von den Corona-Zahlen genährt. Die Sieben-Tage-Inzidenz sinkt weiter, die Zahl der Toten innerhalb eines Tages liegt laut RKI bei 163.",science,2021-05-29T03:11:44Z
Neueschweizerzeitung.ch,Die NASA veröffentlicht ein atemberaubendes neues Bild der Milchstraße in der Innenstadt - Neue Schweizer Zeitung,"CAPE CANAVERAL, Florida (AP) – Die NASA hat ein atemberaubendes neues Bild der gewalttätigen und lebendigen „Innenstadt“ unserer Galaxie veröffentlicht.Es",science,2021-05-28T20:22:20Z
Bild,Er ist der Experte für Kronach: Inzidenz-Maxi kennt die Zahlen vorher,Er ist der Inzidenz-Experte für den Kreis Kronach – mit 15 Jahren! Realschüler Maximilian Müller aus Schneckenohe kann die Corona-Zahlen vorher berechnen,science,2021-05-28T19:06:36Z
Science.orf.at,technologie: Exoskelett macht Menschen zu Super-Gehern - ORF.at,"Kann man beim Gehen Kraft sparen und gleichzeitig elektrische Energie erzeugen? Das ist kein Widerspruch, berichten kanadische Forscher und Forscherinnen: Ein neuartiges Exoskelett macht es möglich.",science,2021-05-28T15:27:32Z
Www.fr.de,ISS live beobachten: Internationale Raumstation als heller Stern am Himmel - fr.de,Die Internationale Raumstation ISS umkreist die Erde 16 Mal am Tag – und man kann sie dabei beobachten. Wie Sie die Raumstation am Himmel finden und live verfolgen können.,science,2021-05-28T15:14:18Z
Tagesanzeiger.ch,Jobsuche nach Corona – Neue Leitfrage für Chefs: «Verursache ich toxische Emotionen?»,"Bei der Rekrutierung von Personal spielt mehr als nur Fachkompetenz eine Rolle. Selbst in der IT ist emotionale Intelligenz wichtig, wie eine SRF-Sendung zeigt.",science,2021-05-28T14:58:00Z
Focus,Sonne satt zum Wochenstart! Hoch Waltraud heizt Deutschland weiter ein,Der Einfluss durch Hoch Waltraud bleibt auch am Sonntag und Montag der wetterbestimmende Faktor in Deutschland. Mit den Temperaturen geht es noch einmal etwas aufwärts – und auch die Sonne wird zum Dauergast.,science,2021-05-28T14:45:00Z
t-online.de,Corona in Köln: Ausgangssperre ab Montag wohl außer Kraft – Inzidenz nahe 50 - t-online,"Die Sieben-Tage-Inzidenz in Köln bleibt weiterhin so niedrig wie lange nicht mehr. Am Freitag lag sie knapp über 50. Der Krisenstab geht davon aus, dass ab Montag Lockerungen greifen – und die Ausgangssperre fällt.",science,2021-05-28T13:11:51Z
