source,title,description,category,publishedAt
Bild,Psychologie: Warum beachtet mich niemand? Expertin gibt Tipps,"Nicht nur Stars und Sternchen leiden unter Bedeutungsverlust. Auch der Eintritt in die Rente kann schwere Krisen auslösen, sagt die Psychologin Anke Precht.",science,2021-05-15T16:24:47Z
Bild,In Regionen mit niedriger Inzidenz - Lockerungen für Schulen,Stuttgart – Schüler aus Regionen mit niedrigen Inzidenzwerten können sich auf Lockerungen einstellen.,science,2021-05-15T12:17:38Z
Faz.net,Im sozialen Strudel von Sars-Cov-2,"Der Ursprung bleibt unklar, die genetischen Tricks des Virus ein Rätsel. Zwei Genpioniere, die auch im hohen Alter nach Antworten darauf suchten, fanden sich plötzlich in Deutungskämpfen verwickelt, die in den sozialen Netzwerken toben.",science,2021-05-15T10:00:00Z
DIE WELT,Umgang mit Ängsten: „Lasst die Kinder auch mal allein“,"Wenn Kinder Angst haben, stehen Eltern vor einer Herausforderung. Warum es wichtig es ist, Kinder in solchen Situationen ernst zu nehmen, und warum man sie trotzdem auch mal allein lassen sollte, erklärt ein Erziehungswissenschaftler. (Video mit Transkript)",science,2021-05-15T09:20:06Z
t-online.de,Corona/Köln: Inzidenz fällt unter 100er-Marke - t-online,Der Inzidenzwert in Köln sinkt seit mehreren Tagen. Nun ist die Sieben-Tage-Inzidenz seit Langem wieder unter 100 gefallen.,science,2021-05-15T06:15:00Z
Faz.net,Zeit für Zeitkristalle,"Er hat erklärt, warum Quarks niemals isoliert auftreten können und was es mit Zeitkristallen auf sich hat. Der Physik-Nobelpreisträger Frank Wilczek, der sich noch immer nicht auf seinen Lorbeeren ausruhen mag, feiert an diesem Samstag seinen siebzigsten Gebu…",science,2021-05-15T05:00:00Z
Faz.net,Sieben-Tage-Inzidenz fällt deutlich unter 90,"7894 Corona-Neuinfektionen sind fast halb so viele wie vor einer Woche, doch muss der  Feiertag bedacht werden. Die bundesweite Sieben-Tage-Inzidenz sinkt auf 87,3.",science,2021-05-15T04:11:00Z
Wochenblatt.cc,Wie man “emotionale Vampire“ unterscheidet und vermeidet - Das Wochenblatt aus Paraguay,"Asunción: Seit Beginn der Pandemie und allem, was die neue Normalität mit sich bringt, kann so eine Situation Verhaltensänderungen sowie eine geistige und körperliche Abnutzung hervorrufen, die sich in uns selbst oder in Menschen um uns herum entwickeln. Es g…",science,2021-05-15T04:03:08Z
Blick.ch,China landet zum ersten Mal gleich mit Rover auf dem Roten Planeten Mars,"China ist zum ersten Mal eine Landung auf dem Mars gelungen. Das Landemodul des chinesischen Raumschiffes setzte mit einem Rover an Bord erfolgreich auf dem Roten Planeten auf. Damit hat China etwas geschafft, das den Amerikanern bisher noch nicht gelang.",science,2021-05-15T02:36:14Z
Nzzas.nzz.ch,Neues aus der Wissenschaft: Was Höhlenmalereien bedroht und warum Frauen Erotikromane lesen | NZZ am Sonntag - NZZ am Sonntag,"Empfehlungen der Redaktion, Schwerpunkte und Entdeckungen aus der NZZ am Sonntag.",science,2021-05-14T23:54:00Z
Faz.net,Ist das der Anfang vom Ende der Pandemie?,"Die Inzidenz sinkt bundesweit unter 100, die Zahl der Impfungen erreicht einen Rekordwert. Das stimmt selbst den Gesundheitsminister optimistisch. Doch Fachleute blicken schon auf eine weitere Variante des Virus.",science,2021-05-14T16:47:00Z
Focus,Gotha: Mit dem Tisch-Trick umgeht ein Wirt im Covid-Hotspot die Bundesnotbremse,"Im thüringischen Gotha gilt die Corona-Notbremse. Der Landkreis hat mit über 200 den zweithöchsten Inzidenzwert in ganz Deutschland. Für die Gastronomie gibt es daher strikte Regeln. Doch der Gastronom Florian Mirhenn hat eine kreative Möglichkeit gefunden, w…",science,2021-05-14T16:33:00Z
RT,Wissenschaftsjournalist vermutet: SARS-CoV-2-Virus stammt wahrscheinlich doch aus Labor - RT Deutsch,"Bisher hieß es, das SARS-CoV-2-Virus sei natürlichen Ursprungs und habe einen Weg gefunden, sich auf den Menschen zu übertragen. Ein Wissenschaftsjournalist hält dies in einem viel beachteten Beitrag für eher unwahrscheinlich. Zudem könnten US-Gelder in die F…",science,2021-05-14T14:41:29Z
Spiegel Online,Ausstoß von Treibhausgasen: Die Stratosphäre schrumpft um 400 Meter,In den vergangenen 40 Jahren ist die zweite Schicht der Atmosphäre fast einen halben Kilometer schmaler geworden. Das könnte potenziell auch gefährlich für Satelliten und GPS werden.,science,2021-05-14T12:38:14Z
T3n,SpaceX zeigt spektakuläres Video des fünften Starship-Flugs,In einem neuen Video zeigt Elon Musks Raumfahrtunternehmen SpaceX den erfolgreichen Testflug des fünften Stars,science,2021-05-14T11:48:21Z
Spiegel Online,"Zehntausende Coronatote hätten verhindert werden können: Wie bringt man Politiker dazu, auf seriöse Wissenschaftler zu hören?",Modellierer und Virologinnen haben Deutschlands Ministerpräsidenten mehrfach vor den Folgen der zweiten und dritten Welle gewarnt. Trotzdem kamen die Maßnahmen zu spät. Aus diesen Fehlern müssen wir lernen.,science,2021-05-14T11:00:00Z
Www.rtl.de,"US-Forscher entdecken: Wir altern nicht gleichmäßig, sondern mit 34, 60 und 78 Jahren! - RTL Online","Forscher der Universität Stanford haben entdeckt, wir altern nicht jedes Jahr ein bisschen, sondern in drei Stufen stärker, mit 34, 60 und 78.",science,2021-05-14T07:22:00Z
heise online,NASA-Helikopter Ingenuity: 3D-Video des dritten Flugs auf dem Mars,Fünfmal ist Ingenuity auf dem Mars geflogen und noch immer sind nicht alle Daten ausgewertet. Nun hat die NASA ein 3D-Video des dritten Flugs veröffentlicht.,science,2021-05-14T06:00:00Z
Bild,München im Tiefflug: Was gilt bei einer Inzidenz unter 50?,"Endlich macht München sich locker! Die Biergärten sind schon geöffnet, ab dem 21. Mai auch die Freibäder! Was könnte bald noch gelten?",science,2021-05-14T05:27:07Z
Spiegel Online,"Datenanalyse zu sinkenden Infektionszahlen: Die Notbremse funktioniert, oder?",Die Coronalage in Deutschland entspannt sich. Die Sieben-Tage-Inzidenz liegt wieder unter 100. Das scheint an den Maßnahmen der Bundesregierung zu liegen. Doch ganz so einfach ist es nicht.,science,2021-05-14T04:19:00Z
20 Minuten,Meilenstein : Chinesischer Rover «Zhurong» landet auf dem Mars,"Der gut 200 Kilogramm schwere Rover soll rund drei Monate lang die Atmosphäre und den Boden des Mars untersuchen, wie chinesische Staatsmedien berichten.",science,2021-05-15T01:26:30Z
20 Minuten,Für neue Medikamente : ETH-Forschende finden die «Achillesferse» des Coronavirus,"Eine Gruppe von Forschenden hat tief in die molekulare Struktur des Coronavirus geblickt. Dabei fanden sie eine Schwachstelle des Virus, die die Türen für die Entwicklung neuer Medikamente öffnen soll.",science,2021-05-14T14:27:44Z
Tiroler Tageszeitung Online,Meteorologe und ORF-Wetterpräsentator Bernhard Kletter gestorben,Der Meteorologe und bekannte Fernseh-Wetterpräsentator Bernhard Kletter ist tot. Wie der ORF am Freitagnachmittag in ...,science,2021-05-14T04:09:00Z
scinexx | Das Wissensmagazin,Ist der Mars doch vulkanisch aktiv?,"Verborgenes Feuer: Tief unter seiner eisigen Oberfläche könnte der Mars doch noch vulkanisch aktiv sein. Neue Indizien dafür liefern dunkle, vulkanische",science,2021-05-13T23:19:48Z
