source,title,description,category,publishedAt
Focus,Kalter Mai: Schneeschmelze und Regen verschärfen Hochwassergefahr,"Es ist viel zu kühl in Deutschland und Mitteleuropa für diese Jahreszeit. Und das hat Auswirkungen. Denn in den Alpen liegt jetzt immer noch viel Schnee und das bedeutet, dass die Schneeschmelze dieses Jahr anhält. Dazu kommt eine Wetterlage, die uns in den k…",science,2021-05-19T16:16:00Z
heise online,Astronomie: Viele Sterne in der Milchstraße erlebten gigantische Kollision,An ihrem Anfang kollidierte die Milchstraße vor mehr als 10 Milliarden Jahren mit einer anderen Galaxie. Viele Sterne in unserer Heimatgalaxie sind älter.,science,2021-05-19T15:01:00Z
Focus,"IT-Experte verkauft Hilfstool für Impftermine – Anwalt erklärt, ob das legal ist","Was andere tage-, gar wochenlang versuchen, schafft die Software von dem IT-Experten Sören Hergelin wenigen Millisekunden: die Buchung eines Impftermins! Und genau die Nutzung dieser Software verkaufte er für 25 Euro bei eBay-Kleinanzeigen.",science,2021-05-19T13:35:00Z
Spektrum.de,Kosmischer Sound: Voyager 1 und das Summen zwischen den Sternen - Spektrum.de,"In den unendlichen Weiten des Weltraums ist ein monotones Brummen zu hören. Zwar summt interstellares Gas nur schwach, wie der Lauschangriff von Voyager 1 zeigt, aber konstant.",science,2021-05-19T13:00:00Z
Faz.net,Wie geht es den Kindern? Schreibt uns!,"Derzeit wird viel über junge Menschen in der Pandemie geschrieben, aber selten hört man sie selbst sprechen. Wir wollen das ändern: Schreibt uns, wie ihr durch diese Zeit kommt, was euch nervt, euch fehlt – und welche Dinge euch motivieren.",science,2021-05-19T12:04:00Z
Focus,Klimawandel: Eiskappen in Grönland schmelzen - Ist der Kipppunkt schon erreicht?,"Ein eisfreies Grönland - ist dieses Schicksal schon festgeschrieben? Analysen zufolge könnte der Kipppunkt, ab dem das Schmelzen der Eiskappen nicht mehr aufgehalten oder rückgängig gemacht werden kann, schon erreicht sein.",science,2021-05-19T10:45:00Z
Aargauerzeitung.ch,Coronavirus B.1.617.2: Was ist die indische Variante.,Das Sars-CoV-2 mutiert weiter. In Indien ist eine weitere Mutante aufgetaucht: B.1.617. Sie hat sich bereits in einigen Gegenden von Grossbritannien massiv verbreitet und teilweise auch die Mutante B.1.1.7 als dominante Variation abgelöst.,science,2021-05-19T10:13:55Z
Bild,Corona: Nur noch Thüringen mit Inzidenz von über 100,Mit Thüringen weist nur noch ein Bundesland eine Sieben-Tage-Inzidenz von über 100 auf.,science,2021-05-19T09:43:06Z
Www.srf.ch,Mai Thi Nguyen-Kim - Wissenschafts-YouTuberin: «So viel Aufmerksamkeit ist toll»,Die promovierte Chemikerin Mai Thi Nguyen-Kim erreicht mit ihrem Kanal «maiLab» ein Millionenpublikum.,science,2021-05-19T09:16:00Z
Faz.net,Die Stunde der Vermittler,Nach dem Wunsch der Politik soll jeder Forscher seine Erkenntnisse in die Öffentlichkeit tragen. Das würde aber weder der Gesellschaft noch der Wissenschaft nützen. Ein Gastbeitrag.,science,2021-05-19T08:20:31Z
Faz.net,Infiziert im Testzentrum und im Supermarkt,"Wo genau sich jemand mit Corona infiziert, ist selten bekannt. In Düsseldorf gehen Forscher dieser Frage durch Sequenzierungen auf den Grund. Erste Ergebnisse der Studie zeigen ungewöhnliche Ansteckungsorte.",science,2021-05-19T07:04:00Z
Bild,Aktuelle Zahlen des RKI - Sieben-Tage-Inzidenz in München unter 50!,"München –Die Zahl der Corona-Neuinfektionen geht weiter zurück. Die 7-Tage-Inzidenz lag am Mittwoch laut Robert Koch-Institut bei 47,3,",science,2021-05-19T06:47:49Z
Watson.ch,Chinas Mars-Rover arbeitet «normal» und schickt Signale,"Der chinesische Mars-Rover «Zhurong» hat Signale über den Orbiter zur Erde gesendet. «Alle Systeme arbeiten normal», berichteten chinesische Staatsmedien …",science,2021-05-19T06:39:00Z
Antennemuenster.de,Weitere Corona-Lockerungen ab Freitag möglich - ANTENNE MÜNSTER,Seit vergangenen Samstag dürfen unter anderem die Restaurants und Cafés in unserer Stadt wieder ihre Terrassen öffnen.,science,2021-05-19T06:26:00Z
t-online.de,"Corona/Köln: Inzidenz knapp über 100 – ""Click & Meet"" wieder möglich","Zwei Tage lag die Inzidenz in Köln unter dem entscheidenden Wert von 100, doch nun wurde er den dritten Tag in Folge wieder überschritten.  In ganz NRW soll der Präsenzunterricht Ende Mai unter Bedingungen wieder aufgenommen werden.",science,2021-05-19T06:01:00Z
Focus,"Max-Planck-Forscherin Viola Priesemann: ""Wir werden einen guten Sommer haben""",Viola Priesemann untersucht am Max-Planck-Institut in Göttingen die Mechanismen der Corona-Pandemie. In den vergangenen Monaten ist sie in der Öffentlichkeit immer wieder als Mahnerin aufgetreten. Nun hat sie sich überraschend optimistisch zur aktuellen Entwi…,science,2021-05-19T04:24:00Z
Faz.net,"Sieben-Tage-Inzidenz sinkt auf 72,8",Das RKI meldet mit 11.040 Neuinfektionen binnen eines Tages abermals einen Rückgang der Ansteckungen im Vergleich zur Vorwoche. 284 Todesfälle wurden erfasst. Nur noch ein Bundesland liegt über einer Inzidenz von 100.,science,2021-05-19T04:18:45Z
Tagesanzeiger.ch,Der Sinn des Universums – Die Suche nach der Gottes-Formel,Eine Theorie von Allem ist der heilige Gral der Physik. In seinem neuen Buch erzählt der Physiker Michio Kaku von der Suche nach dieser Formel – und was das mit Gott zu tun hat.,science,2021-05-19T03:09:19Z
scinexx | Das Wissensmagazin,Alte Sterne rotieren schneller als sie dürften - Asteroseismologie bestätigt abgeschwächten Bremseffekt bei älteren Sternen,"Widerspruch zur Theorie: Alte Sterne rotieren schneller als es gängige Modelle vorhersagen, wie nun eine Messung bestätigt. Die stärker werdenden",science,2021-05-18T23:15:00Z
