source,title,description
web.de news,"""Ingenuity"": Mars-Hubschrauber liefert erste Farbaufnahmen vom roten Planeten - WEB.DE News","Der Mars-Hubschrauber ""Ingenuity"" hat schon drei Flüge hinter sich. Bei seinem zweiten Erkundungsflug über den Mars wurden erste farbige Aufnahmen produziert."
t-online.de,Klimakrise: Gletscher schmelzen weltweit immer schneller - t-online.de,Mithilfe von Satellitenbildern gelang Forschern die weltweit erste vollständige Bestandsaufnahme der Gletscherschmelze. Sie legt alarmierende Auswirkungen auf den Anstieg des Meeresspiegels offen.
faz.net,"Knapp 25.000 Neuinfektionen, Sieben-Tage-Inzidenz geht zurück - FAZ - Frankfurter Allgemeine Zeitung","Das RKI meldet 24.736 Neuinfektionen und 264 neue Todesfälle, die Sieben-Tage-Inzidenz liegt bundesweit bei 154,9. Die Zahl der Nachweise der indischen Corona-Variante B.1.617 in Deutschland bleibt laut RKI relativ gering."
watson.ch,"Corona: Die dritte Welle ist da, doch die Todesfälle steigen noch nicht - watson","Die dritte Welle ist da und diesmal läuft einiges anders: Die Zahlen steigen langsamer, die Todesfälle nehmen sogar ab. Doch über den Berg sind wir noch nicht."
scinexx | das wissensmagazin,Milchstraße: Neue Karte des äußeren Halo - Schweifförmige Turbulenz enthüllt Zwerggalaxien-Bahn und Dunkle Materie - scinexx.de - scinexx | Das Wissensmagazin,Verräterischer Schweif: Astronomen haben erstmals eine genauere Karte der äußeren Regionen unserer Galaxie erstellt – des Milchstraßen-Halo. Seine
focus,"Corona-Zahlen in Deutschland: 23.700 Neuinfektionen, weniger Intensivpatienten - FOCUS Online","Die aktuellen Corona-Zahlen in Deutschland: Nach einer Verdoppelung der bundesweiten Sieben-Tage-Inzidenz von Mitte März bis Mitte April ist der Anstieg der Neuinfektionen zuletzt wieder abgeflacht. Wie sich die Infektionszahlen in Deutschland entwickeln, les…"
focus,Ist die dritte Welle schon gebrochen? Darum stagnieren die Corona-Zahlen gerade - FOCUS Online,"Seit mehreren Tagen ist der rasante Anstieg der Fallzahlen plötzlich vorbei. Die Zahl der Neuinfektionen und damit die 7-Tage-Inzidenz stagnieren. Experten sehen vor allem drei Effekte, die sich positiv auf das Infektionsgeschehen auswirken: die Osterferien, …"
bild,Offizielle Inzidenz wie bei uns: Wie schlimm ist die Corona-Lage in Indien wirklich? - BILD,"Täglich über 300 000 Neuinfektionen, inzwischen mehr als 200 000 Tote: Die Corona-Zahlen in Indien explodieren!Doch ein Blick auf die Sieben-Tage-Inzidenz verwundert: Hier liegt Indien kaum höher als Deutschland. Woran liegt das? Und wie schlimm ist die Lage …"
futurezone.at,Hubschrauber Ingenuity fotografiert Mars-Rover aus der Luft - futurezone.at,Während seines dritten Fluges konnte der Helikopter einen Schnappschuss von Perseverance machen.
die welt,"Große Datenlücken: ""Müssen dringend untersuchen, welchen Einfluss Schnelltests auf die Inzidenz nehmen"" - WELT","Statistikerin Katharina Schüller analysiert seit Pandemie-Beginn den Umgang mit Fallzahlen und Tests in Deutschland. Sie kritisiert erhebliche Datenlücken, die das Krisenmanagement erschweren und das Lagebild womöglich verzerren. Und schlägt einen ungewöhnlic…"
tageblatt.lu,Expressis Verbis / Cargolux-Vorsitzende Christianne Wickler und ihre sehr eigene Interpretation der Corona-Pandemie - Tageblatt online,
die welt,„Tiangong 3“: China beginnt mit dem Aufbau seiner ersten Raumstation - WELT,"Die Zukunft der Raumstation „ISS“ ist unsicher. Dafür errichtet jetzt Peking eine Raumstation, um seine Macht auch im Weltraum zu demonstrieren. Das Land gibt sich dabei ungewohnt offen – und düpiert so die USA, die nie einen Chinesen zur „ISS“ ließen."
kleine zeitung,"Ein Jahr nach Corona-Ausbruch: Pflegeheim Menda: ""Applaus ist verhallt, dem Personal geht die Luft aus"" - Kleine Zeitung","Das Seniorenhaus Menda in Hartberg war im März 2020 österreichweit das erste Pflegeheim, in dem eine Corona-Infektion festgestellt wurde. Mitarbeiterinnen und Bewohner erzählen, wie sie dieses herausfordernde Jahr erlebt haben."
t-online.de,Inzidenz über 250: Wie Köln zum Corona-Hotspot in Deutschland wurde - t-online - Köln,Noch immer liegt die Sieben-Tage-Inzidenz in Köln bei 230. Damit ist die Stadt am Rhein Spitzenreiter unter den 14 größten Städten Deutschlands. Doch was sind die Gründe dafür?
bild,Corona: Notärztin fordert Corona-Konzept für die nächsten Jahre - BILD,"Seit einem Jahr kämpft sie unermüdlich gegen Corona. Seit einem Jahr kämpft sie für eine Strategie – vergeblich!Jetzt zeichnet Dr. Lisa Federle (59), Notärztin und Pandemie-Beauftragte des Landkreises Tübingen, eine düstere Prognose – auf die wir nicht vorber…"
focus,"Niederlande öffnen trotz Mega-Inzidenz - Mediziner warnen vor ""Code Schwarz"" - FOCUS Online","Die Niederlande sperren wieder auf: Ab Mittwoch dürfen die Außenbereiche in der Gastronomie und Geschäfte wieder geöffnet werden. Und das trotz einer schwindelerregend hohen 7-Tages-Inzidenz. Die Regierung vertraut auf Impfungen, doch Mediziner warnten bereit…"
heise online,"Solar Orbiter: ""Lagerfeuer"" könnten rätselhafte Sonnentemperaturen erklären - heise online","Direkt über der Sonne ist es 300-mal heißer als auf deren Oberfläche. Vom Solar Orbiter entdeckte ""Lagerfeuer"" könnten das erklären."
t-online.de,Corona/Köln: Inzidenz weiterhin hoch – mobile Impfaktion in Brennpunkten angekündigt - t-online - Köln,"Der Inzidenzwert in Köln ist erneut gesunken, bleibt aber auf einem hohen Niveau. Erstmals wurde die indische Virusvariante in der Domstadt nachgewiesen."
spektrum.de,Exoplanet: Nachweis von Hydroxyl-Molekülen auf Jupiter WASP-33b - Spektrum.de,Der ultraheiße Jupiter WASP-33b hat einladende Temperaturen von 2500 Grad Celsius. Nun ist dort erstmals der direkte Nachweis von Hydroxyl-Molekülen gelungen.
www.nzz.ch,Corona-Debatte: Forscher sollten Politik nicht unterschätzen - Neue Zürcher Zeitung,"Nach den jüngsten Bundesratsentscheiden wird einmal mehr die «wissenschaftliche Ignoranz» der Politik lamentiert. Das entlarvt nicht nur die politische Naivität einzelner Experten, sondern ist auch gefährlich für die Wissenschaften."
business insider deutschland,"Impf-FoMO: Ein Psychologe über die Angst, etwas zu verpassen","„Je mehr Menschen geimpft sind, desto schneller könnte eine FoMO bei denen entstehen, die noch auf die Impfung warten“, sagt ein Experte."
fr.de,„Galaktischer Halo“ - Karte der äußeren Milchstraße führt zum Speicher der dunklen Materie,Forschende aus den USA veröffentlichen eine neue Karte des galaktischen Halos. Basissind Daten der Weltraumorganisationen Nasa und Esa
futurezone.at,"Elon Musk: Mars ist für Entdecker, die ""wahrscheinlich sterben"" werden",Der SpaceX-Gründer macht sich über den möglichen Ausgang einer Reise zum Roten Planeten keine Illusionen.
business insider deutschland,Psychologie: Berufseinstieg und Rente verändern die Persönlichkeit,"Junge Erwachsene reifen mit dem Berufseinstieg und werden gewissenhafter, während Rentner eher entspannter werden und das Leben genießen."
20 minuten,Raumstation geplant : Der Bau von Chinas Himmelspalast beginnt,"Während das Ende der internationalen Raumstation ISS naht, baut die junge Raumfahrtnation China ihren eigenen Aussenposten im All. Am Donnerstag gehts los. Elf Raumflüge sind in kurzer Zeit geplant."
